SYS SID RAW.SCR Z.SCR N 
online-A 1091 96 0.657858649469386 2 
online-A 1439 100 1.17693580514386 1 
online-A 891 75 0.340568689493021 1 
online-A 1342 38 -0.897254641670218 1 
online-A 10 62.5 -0.0776148683323974 2 
online-A 1254 65 0.0060218432326863 2 
online-A 1059 34 -1.03107338017435 1 
online-A 488 65 0.00602184323268626 1 
online-A 1288 76.5 0.390750716432071 2 
online-A 1536 83 0.608206166501289 1 
online-A 599 99 1.14348112051783 1 
online-A 1651 62 -0.0943422106454142 1 
online-A 66 64 -0.0274328413933472 1 
online-A 372 51 -0.462343741531783 1 
online-A 703 86 0.70857022037939 1 
online-A 322 89 0.80893427425749 1 
online-A 1420 68 0.106385897110787 1 
online-A 459 73 -0.461948798971247 1 
online-A 836 88 0.434385909140343 1 
online-A 1437 80 -0.0436592685191717 1 
online-A 838 83.5 0.165485496706866 2 
online-A 818 86.5 0.344752438329184 2 
online-A 686 89 0.494141556347782 1 
online-A 792 89 0.494141556347782 1 
online-A 512 95 0.852675439592418 1 
online-A 602 86 0.345723259594678 1 
online-A 1448 78 -0.0182759450670598 1 
online-A 1613 88.5 0.459473011051472 2 
online-A 1989 49.5 -1.3150231116745 2 
online-A 1674 77 -0.0637758456497771 1 
online-A 1188 54 -1.11027355905227 1 
online-A 439 87 0.391223160177395 1 
online-A 647 78 -0.0182759450670598 1 
online-A 1136 83 0.209223557846526 1 
online-A 241 52 -1.20127336021771 1 
online-A 845 89 0.48222296134283 1 
online-A 429 85 0.0461740259133195 1 
online-A 525 78 -0.352860765930181 1 
online-A 97 91 0.388203847493463 1 
online-A 579 75 -0.523875676720253 1 
online-A 1875 97 0.730233669073607 1 
online-A 835 90 0.331198877230106 1 
online-A 520 100 0.901248579863678 1 
online-A 114 94 0.559218758283535 1 
online-A 1510 97 0.730233669073607 1 
online-A 1667 83 -0.067835914613395 1 
online-A 671 98 0.576288485004389 1 
online-A 1195 98 0.576288485004389 1 
online-A 1169 88 -0.258912217900522 1 
online-A 389 97 0.492768414713898 1 
online-A 1345 57 -2.84803439690575 1 
online-A 258 98 0.576288485004389 1 
online-A 103 98 0.576288485004389 1 
online-A 142 97 0.492768414713898 1 
online-A 762 96 0.409248344423407 1 
online-A 427 98 0.576288485004389 1 
online-A 878 94 0.242208203842425 1 
online-A 1488 72.5 -0.491826622574967 2 
online-A 1761 50 -1.83632868474235 1 
online-A 1810 64 -0.999749623838201 1 
online-A 986 36 -2.6729077456465 1 
online-A 1058 82 0.075852025895707 1 
online-A 1051 82 0.075852025895707 1 
online-A 1550 88 0.434385909140343 1 
online-A 1226 74 -0.402193151763808 1 
online-A 732 76 -0.282681857348929 1 
online-A 1741 47 -2.01559562636467 1 
online-A 1078 96 0.88021078407196 1 
online-A 235 93.5 0.796899555984479 2 
online-A 1712 76 0.213720959372113 1 
online-A 593 64 -0.186172935447794 1 
online-A 1313 89 0.646939345427013 1 
online-A 591 49 -0.686040303972679 1 
online-A 81 46 -0.786013777677656 1 
online-A 237 26 -1.4525036023775 1 
online-A 558 95 0.846886292836967 1 
online-A 865 85 0.255118967518025 2 
online-A 29 75 -0.342437504556368 1 
online-A 355 90 0.553897203555222 1 
online-A 1725 95 0.852675439592419 2 
online-A 516 71 -0.581460093386126 1 
online-A 667 39 -2.49364080402418 1 
online-A 20 87 0.374630261932904 1 
online-A 875 89 0.494141556347782 1 
online-A 1143 93 0.73316414517754 1 
online-A 1247 6 -0.887803039419817 2 
online-A 866 95.5 1.3701785470557 2 
online-A 492 92 1.28187759116001 1 
online-A 1899 2 -0.988718417586321 1 
online-A 1153 96 1.38279296932652 1 
online-A 957 44 0.070893053161969 1 
online-A 1206 51 0.244616296788688 1 
online-A 1571 21.5 -0.478447907145811 2 
online-A 1873 2 -0.956405601272005 1 
online-A 1960 20 -0.515213883617056 1 
online-A 1720 100 1.44563819484938 1 
online-A 61 2 -0.956405601272005 2 
online-A 856 1 -0.980916252252835 1 
online-A 574 1 -0.980916252252835 1 
online-A 1619 68 0.358233063691865 2 
online-A 179 51.5 -0.0992976844540953 4 
online-A 1144 3.5 -1.49630857490483 2 
online-A 289 93.5 1.07574904079238 2 
online-A 1577 42.5 -0.377523168121609 4 
online-A 1299 94.5 1.10608392771693 2 
online-A 1098 79 0.667596480244639 2 
online-A 110 54.75 -0.013955201205147 4 
online-A 1249 100 1.26380567844547 2 
online-A 971 82 0.75338963967173 2 
online-A 1649 28.5 -0.790051415256674 2 
online-A 1057 65 0.290680158977734 2 
online-A 373 51.5 -0.081926013298895 2 
online-A 713 56 0.000294505501580999 2 
online-A 1597 28 -0.695834815454715 1 
online-A 965 51 0.083337567965852 1 
online-A 1931 55 0.218845808560733 2 
online-A 1949 51 0.083337567965852 1 
online-A 1724 83 1.1674034927249 1 
online-A 530 10 -1.30562189813168 2 
online-A 790 12 -1.23786777783424 1 
online-A 1482 11 -1.27174483798296 1 
online-A 1276 17 -1.06848247709064 1 
online-A 1626 12 -1.23786777783424 1 
online-A 312 49 0.0155834476684114 1 
online-A 852 46 -0.0860477327777495 1 
online-A 1520 33 -1.191025703157 2 
online-A 1643 50 -0.652553955660969 1 
online-A 570 76 0.17099106992119 1 
online-A 1327 100 0.931186478150875 1 
online-A 1991 100 0.931186478150875 1 
online-A 352 44 -0.842602807718388 2 
online-A 1739 59 -0.367480677574837 1 
online-A 173 65 -0.177431825517416 1 
online-A 330 75 0.139316261244953 1 
online-A 1000 66 -0.145757016841179 1 
online-A 1297 50 -0.652553955660969 1 
online-A 1773 92 0.0374691114012882 1 
online-A 880 95 0.224814668407731 2 
online-A 460 98 0.412160225414174 1 
online-A 1863 77 -0.899258673630926 1 
online-A 816 88 -0.212324964607302 1 
online-A 232 97 0.349711706412026 1 
online-A 495 98 0.412160225414174 1 
online-A 653 80 -0.711913116624483 1 
online-A 465 65.5 0.0793933866505805 2 
online-A 1884 94 1.21643435124432 1 
online-A 753 95 1.25633052544059 1 
online-A 906 82 0.737680260889061 2 
online-A 297 75 0.458407041515161 1 
online-A 448 70 0.258926170533803 1 
online-A 777 24 -1.57629784249469 1 
online-A 889 100 0.831485303732688 1 
online-A 1513 100 0.831485303732688 1 
online-A 1742 67 -0.274416896308934 1 
online-A 1224 100 0.831485303732688 1 
online-A 645 100 0.831485303732688 1 
online-A 1821 51 -0.810611902389721 1 
online-A 1718 100 0.831485303732688 1 
online-A 1122 100 0.831485303732688 1 
