SYS SID RAW.SCR Z.SCR N 
PJATK.4761 1243 89.2142857142857 1.21043349715233 14 
PJATK.4761 659 50.0666666666667 -0.0191550495570631 15 
PJATK.4761 529 79.5 0.987599101515295 6 
PJATK.4761 836 11 -1.50821332173215 1 
PJATK.4761 1557 63 0.417862722347589 2 
PJATK.4761 2189 17 -0.785413599087909 2 
PJATK.4761 2372 75 0.891375731727926 1 
PJATK.4761 1692 58.5 0.0270474156390385 2 
PJATK.4761 2993 59 0.209011633800288 1 
PJATK.4761 954 41 -0.209793238748526 1 
PJATK.4761 2012 44 -0.441611125242692 2 
PJATK.4761 2538 41 -0.209793238748526 1 
PJATK.4761 2229 3 -2.34181804592734 1 
PJATK.4761 1341 65 0.998815434552388 1 
PJATK.4761 1430 63 0.293538002216576 1 
PJATK.4761 1956 93.5 1.12975305856425 2 
PJATK.4761 1835 97 1.25450876016714 1 
PJATK.4761 2133 24 -1.13128641741784 2 
PJATK.4761 2315 50 -0.602818880646937 1 
PJATK.4761 420 67.5 0.044680808553212 2 
PJATK.4761 918 63 -0.121819111526827 1 
PJATK.4761 350 50 0.0898907107561897 1 
PJATK.4761 795 2 -1.57067567909353 1 
PJATK.4761 2744 32 -1.06238284102951 1 
PJATK.4761 112 12 -1.77527256447464 1 
PJATK.4761 2292 23 -1.38318321657982 1 
PJATK.4761 2700 3 -1.27366494267481 1 
PJATK.4761 2777 16 -0.881254048623936 1 
PJATK.4761 2955 100 1.10297051090657 1 
PJATK.4761 1031 23.5 -0.913624432023373 2 
PJATK.4761 1195 65 0.204811159561681 1 
PJATK.4761 1927 56 0.326164086917202 1 
PJATK.4761 2544 43 -0.388094455254491 2 
PJATK.4761 1899 68 0.616471586420079 1 
PJATK.4761 1752 16 -1.44906059993382 1 
PJATK.4761 2377 24 -0.875142268197683 1 
PJATK.4761 1551 73 0.674000328797612 1 
PJATK.4761 1538 32 -0.813512234901854 1 
PJATK.4761 1722 2 -1.56880373971813 1 
PJATK.4761 482 100 1.52760951489706 1 
PJATK.4761 2941 90 0.80705868079547 1 
PJATK.4761 2162 15 -0.849321489923004 1 
PJATK.4761 634 16 -1.03385341712946 1 
PJATK.4761 851 55 0.345147719308915 1 
PJATK.4761 1179 60 0.241190983474939 1 
PJATK.4761 1931 3 -1.59303194798015 1 
PJATK.4761 1420 49.5 -0.169105425813584 2 
PJATK.4761 2281 3.75 -0.762969464137366 4 
PJATK.4761 985 0 -0.865244776186162 1 
PJATK.4761 2038 76 0.934245768936064 1 
PJATK.4761 133 13 -0.857802789149789 1 
PJATK.4761 1794 34 -0.734068689272857 1 
PJATK.4761 1688 49 -0.138242097055385 1 
PJATK.4761 1746 0 -0.865244776186162 1 
PJATK.4761 910 78 1.01368931456506 1 
PJATK.4761 424 0 -0.865244776186162 1 
PJATK.4761 1354 40 0.256792478142972 1 
PJATK.4761 1549 0 -0.865244776186162 2 
PJATK.4761 583 58 0.107004593624462 1 
PJATK.4761 145 30 -0.738447773100411 1 
PJATK.4761 2732 75 1.18026146478975 1 
PJATK.4761 1074 47.5 0.430242509765247 2 
PJATK.4761 2527 62 0.592660743797854 1 
