SYS SID RAW.SCR Z.SCR N 
online-B.0 2351 34.2 -0.286194970713784 5 
online-B.0 362 58.4 0.547076427150851 5 
online-B.0 1823 74.6 1.12247582879082 5 
online-B.0 1290 53.6 0.38309481729169 5 
online-B.0 506 32.25 -0.493064774518328 4 
online-B.0 1001 89.2 1.51666770048069 5 
online-B.0 2335 30.3333333333333 -0.632826014547161 3 
online-B.0 2357 35.6666666666667 -0.439218050174114 3 
online-B.0 687 65 0.59360433556338 3 
online-B.0 259 44 -0.17387332352743 3 
online-B.0 1532 69.4 0.941430768401866 5 
online-B.0 2498 69 0.731948576347252 3 
online-B.0 2992 46.8 0.1567238239334 5 
online-B.0 200 59 0.563844476953789 5 
online-B.0 681 39.3333333333333 -0.605016843463348 3 
online-B.0 2435 41.5 -0.205252892330913 4 
online-B.0 2876 39.2 -0.120372186168338 5 
online-B.0 2466 67.1666666666667 0.880690400956278 6 
online-B.0 1865 75.25 1.02340571119085 4 
online-B.0 957 31.3333333333333 -0.639410349326679 3 
online-B.0 214 83.6666666666667 0.877415046826004 3 
online-B.0 113 86 0.962882952008749 3 
online-B.0 1986 36 -0.300500680723522 4 
online-B.0 1304 30.75 -0.523409909697527 4 
online-B.0 252 53.6666666666667 0.199014993343968 3 
online-B.0 1297 56 -0.16172696208861 2 
online-B.0 2519 29 -1.0966649722358 1 
online-B.0 2074 21 -0.950941366168709 2 
online-B.0 2677 34 -0.475836148636302 1 
online-B.0 2535 50 0.333840174534487 1 
online-B.0 2589 11 -1.01758235360975 1 
online-B.0 1079 98 1.29262105369591 1 
online-B.0 158 42 0.154978642772735 1 
online-B.0 2048 74 0.461565044676186 1 
online-B.0 2742 55 0.630885318205847 1 
online-B.0 1876 21 -0.613793679080753 1 
online-B.0 585 76 1.23478852663065 1 
online-B.0 1818 47 -0.000730931103896123 1 
online-B.0 1065 63.5 0.602287229610313 2 
online-B.0 421 39 -0.126255207273987 1 
online-B.0 1764 89 1.53422438707772 2 
online-B.0 663 12 -1.27986036292191 2 
online-B.0 519 35 -0.439289593441502 1 
online-B.0 2841 46.5 -0.083066878755832 2 
online-B.0 1121 29 -0.393848879081642 1 
online-B.0 2572 100 1.93623649422053 1 
online-B.0 1008 75 1.02257261435052 1 
online-B.0 884 75 1.20013666693464 1 
online-B.0 2790 55 0.277634050887422 1 
online-B.0 1064 89 1.53422438707772 1 
online-B.0 334 63 0.784314350582567 1 
online-B.0 550 44 0.228195054377829 1 
online-B.0 1522 79 0.634701713221963 1 
online-B.0 881 70 0.594437797891801 1 
online-B.0 2328 98 1.86314338383093 1 
online-B.0 2053 88 1.49767783188292 1 
online-B.0 1122 60 0.47437428642851 1 
online-B.0 3000 87 0.911720382895205 1 
online-B.0 1398 89 0.980975050313518 2 
online-B.0 97 86 0.87709304918605 1 
online-B.0 2782 92 1.08485705144098 1 
online-B.0 2670 72 0.392310377257875 1 
online-B.0 1441 80 0.669329046931119 2 
online-B.0 1994 17.5 -1.49487930989109 2 
online-B.0 1124 97 2.11820477948319 1 
online-B.0 1084 32 0.0976102584029532 1 
online-B.0 2828 63 0.0806643738754774 1 
online-B.0 321 34 -0.580082549205062 1 
online-B.0 2359 91 1.94878072709754 1 
online-B.0 164 58 0.20293101552618 1 
online-B.0 515 13 -0.90665932550113 1 
online-B.0 220 58 0.740709935613488 2 
online-B.0 2587 24 -0.841301700584306 1 
online-B.0 2088 54 0.255094955259707 1 
online-B.0 355 35 -0.246785238084476 1 
online-B.0 1200 94 1.53103271637024 1 
online-B.0 1301 75 1.02257261435052 1 
online-B.0 492 26 -0.430752650068018 1 
online-B.0 1193 100 1.93623649422053 2 
online-B.0 245 38 -0.3296499278571 1 
online-B.0 823 56 0.328188065649308 1 
online-B.0 2557 51 0.138730210543496 1 
online-B.0 2130 53 0.208182130715459 1 
online-B.0 978 49 0.0723621792857048 1 
online-B.0 1925 75 1.02257261435052 1 
online-B.0 2757 99 1.54057918860872 1 
online-B.0 1680 80 0.920693449863152 1 
online-B.0 1587 89 0.980975050313516 1 
online-B.0 1633 98.5 1.30993472055049 2 
online-B.0 658 83 0.773211048058584 1 
online-B.0 2054 47 -0.473372965471008 1 
online-B.0 184 78 0.600074379512807 1 
online-B.0 1101 100 1.36187572111422 2 
online-B.0 1622 27 -0.394144444265471 1 
online-B.0 375 96 1.79005027344133 1 
online-B.0 1697 44 -0.110370596688297 1 
online-B.0 2635 74 0.724940058680342 1 
online-B.0 2873 31 -0.340630222267053 1 
online-B.0 493 39 -0.2931033726623 1 
online-B.0 1035 77 0.862283793651955 1 
online-B.0 962 78 0.893278897665325 1 
