SYS SID RAW.SCR Z.SCR N 
uedin-nmt.4756 1000 96.5 1.28737780729407 2 
uedin-nmt.4756 1154 1 -1.0307820331017 1 
uedin-nmt.4756 2795 66.5 -0.00957544905642493 2 
uedin-nmt.4756 2392 1 -1.0307820331017 1 
uedin-nmt.4756 74 25 -0.424662498753035 1 
uedin-nmt.4756 718 54.5 0.0342559749913564 2 
uedin-nmt.4756 87 50 0.206712016193494 2 
uedin-nmt.4756 1190 2 -1.00552705250384 1 
uedin-nmt.4756 1780 25 -0.424662498753035 1 
uedin-nmt.4756 2979 89 1.19165625951008 1 
uedin-nmt.4756 1013 34 -0.699935355356415 2 
uedin-nmt.4756 675 25 -0.424662498753035 1 
uedin-nmt.4756 1393 93.5 0.903836177079406 2 
uedin-nmt.4756 727 64 -0.188411490223895 1 
uedin-nmt.4756 2343 96 0.829435826317078 1 
uedin-nmt.4756 1092 99 0.924859012242795 1 
uedin-nmt.4756 1331 72 0.0660503389113486 1 
uedin-nmt.4756 396 99 0.924859012242795 1 
uedin-nmt.4756 1664 97 0.861243554958984 1 
uedin-nmt.4756 2238 100 0.9566667408847 1 
uedin-nmt.4756 303 89 0.606781725823741 1 
uedin-nmt.4756 1950 99 0.924859012242795 1 
uedin-nmt.4756 2703 98 0.893051283600889 1 
uedin-nmt.4756 2186 95 0.797628097675173 1 
uedin-nmt.4756 2282 25 -1.42891290725821 1 
uedin-nmt.4756 275 100 0.9566667408847 1 
uedin-nmt.4756 959 21 -1.55782873835645 3 
uedin-nmt.4756 1101 12 -1.84241337960298 1 
uedin-nmt.4756 1653 91.5 0.825998260962592 2 
uedin-nmt.4756 444 99 0.903446220109253 2 
uedin-nmt.4756 1276 99 0.924859012242795 1 
uedin-nmt.4756 1945 71.3333333333333 -0.242663204726443 3 
uedin-nmt.4756 817 39.5 -0.979709855968513 2 
uedin-nmt.4756 951 39 -0.98360470627153 1 
uedin-nmt.4756 2223 89 0.722774841302825 2 
uedin-nmt.4756 2717 75 -0.0304782455807495 1 
uedin-nmt.4756 2259 95.5 0.74646391132593 2 
uedin-nmt.4756 50 95.5 0.964324187162708 2 
uedin-nmt.4756 2040 91 0.579086666034243 1 
uedin-nmt.4756 877 84 0.312402017202684 1 
uedin-nmt.4756 2254 25 -1.9353685943776 1 
uedin-nmt.4756 1948 95.5 0.781487972627096 2 
uedin-nmt.4756 2242 90 0.540988859058306 1 
uedin-nmt.4756 1505 88 0.464793245106432 1 
uedin-nmt.4756 9 94 1.31793116249938 1 
uedin-nmt.4756 296 93 1.29267618190152 1 
uedin-nmt.4756 2803 1.5 -1.01815454280277 2 
uedin-nmt.4756 184 3 -0.980272071905981 1 
uedin-nmt.4756 2044 73.3333333333333 0.669396809946096 3 
uedin-nmt.4756 63 98 1.14042489515517 2 
uedin-nmt.4756 802 37.6666666666667 -0.209984981689557 3 
uedin-nmt.4756 2986 75 0.838086531140023 1 
uedin-nmt.4756 356 93.5 1.1795440909684 2 
uedin-nmt.4756 1313 89.5 1.08654136220998 2 
uedin-nmt.4756 2171 88 0.960469761349936 2 
uedin-nmt.4756 248 32 -0.897314099068726 1 
uedin-nmt.4756 859 3 -1.76330990764901 1 
uedin-nmt.4756 705 74.5 0.317186813127801 2 
uedin-nmt.4756 1860 97 1.04371098912847 1 
uedin-nmt.4756 712 8 -1.61400028548 1 
uedin-nmt.4756 556 55 -0.210489837091257 1 
uedin-nmt.4756 1280 100 1.13329676242988 1 
uedin-nmt.4756 1719 80 0.536058273753817 1 
uedin-nmt.4756 1729 86.5 0.80694550577963 2 
uedin-nmt.4756 1757 84 0.655505971489029 1 
uedin-nmt.4756 922 46.5 -0.496092184158474 2 
uedin-nmt.4756 2032 98.5 1.04967293626164 2 
uedin-nmt.4756 535 97 1.04371098912847 1 
uedin-nmt.4756 2930 98 1.07357291356227 1 
uedin-nmt.4756 1352 96 1.01384906469466 1 
uedin-nmt.4756 2716 35 -1.06474510625757 2 
uedin-nmt.4756 2694 85.5 0.40218108120707 2 
uedin-nmt.4756 143 76.3333333333333 0.243174769794666 3 
uedin-nmt.4756 638 53.5 -1.46082091633374 2 
uedin-nmt.4756 367 92.5 0.00626760847094499 2 
uedin-nmt.4756 761 61.5 -0.692596945062168 2 
uedin-nmt.4756 803 85.6 0.284309282269327 5 
uedin-nmt.4756 610 49 -1.21710773642789 2 
uedin-nmt.4756 2839 86.5 0.583279741584059 2 
uedin-nmt.4756 300 95 0.685869363328198 2 
uedin-nmt.4756 614 58.6666666666667 -0.276344694446801 3 
uedin-nmt.4756 264 96 0.564494551818814 2 
uedin-nmt.4756 2961 88 0.325599156348391 2 
uedin-nmt.4756 1941 44.5 -2.10767007609594 2 
uedin-nmt.4756 1205 65.5 -0.025848889072102 2 
uedin-nmt.4756 2150 96 1.01384906469466 1 
uedin-nmt.4756 948 22.3333333333333 -1.3947809304126 3 
uedin-nmt.4756 1367 98 1.07357291356227 1 
uedin-nmt.4756 2699 72 0.297162878283393 1 
uedin-nmt.4756 2377 21 -1.22579526784056 1 
uedin-nmt.4756 2559 89 0.745475553981459 2 
uedin-nmt.4756 1930 98 0.893051283600889 1 
uedin-nmt.4756 2176 98 0.893051283600889 1 
uedin-nmt.4756 293 0 -2.22410612330584 1 
uedin-nmt.4756 1515 53 -0.521860601636786 2 
uedin-nmt.4756 1915 75 0.161473524837065 2 
uedin-nmt.4756 1571 63 -0.137411840663721 2 
uedin-nmt.4756 2723 9.66666666666667 -2.01978868492236 3 
uedin-nmt.4756 2942 78.5 0.379312051340816 2 
uedin-nmt.4756 1713 76 0.416610576018605 2 
uedin-nmt.4756 886 50.5 -0.81649705236795 2 
uedin-nmt.4756 1203 29 -0.986899872370135 1 
uedin-nmt.4756 2333 45 -0.509109081429287 1 
uedin-nmt.4756 2886 98 1.07357291356227 1 
uedin-nmt.4756 2360 47 -0.449385232561681 1 
uedin-nmt.4756 2594 80 0.536058273753817 1 
uedin-nmt.4756 1034 79 0.506196349320014 1 
uedin-nmt.4756 169 93 0.728291729478975 3 
uedin-nmt.4756 1503 71 0.0342426102694432 1 
uedin-nmt.4756 1936 100 0.9566667408847 1 
uedin-nmt.4756 469 67 -0.0291442045401021 2 
uedin-nmt.4756 2352 33.6666666666667 -1.20549958474299 3 
uedin-nmt.4756 2422 38 -1.01541243491344 1 
uedin-nmt.4756 661 94.5 0.954607184165312 2 
uedin-nmt.4756 2937 63.5 -0.0551365017887575 2 
uedin-nmt.4756 546 47 -0.729142877136287 1 
uedin-nmt.4756 2170 80 0.320512168046592 1 
uedin-nmt.4756 2036 99 0.924859012242795 1 
uedin-nmt.4756 2325 39.5 -1.08314893431327 2 
uedin-nmt.4756 1655 51.5 -0.61223957109865 2 
uedin-nmt.4756 1796 100 0.9566667408847 1 
uedin-nmt.4756 2858 99 0.924859012242795 1 
uedin-nmt.4756 997 68 0.007404343712804 2 
uedin-nmt.4756 2564 100 0.834764108689161 1 
uedin-nmt.4756 1538 99.5 0.811436249626754 2 
uedin-nmt.4756 159 99.5 0.878740473907937 2 
uedin-nmt.4756 978 26 -2.61775903254703 1 
uedin-nmt.4756 464 100 0.834764108689161 1 
uedin-nmt.4756 1301 100 0.834764108689161 1 
uedin-nmt.4756 2320 100 0.834764108689161 1 
uedin-nmt.4756 2397 100 0.834764108689161 1 
uedin-nmt.4756 1701 76.5 0.308081237773951 2 
uedin-nmt.4756 1576 53 -0.270213685958863 1 
uedin-nmt.4756 1324 100 1.13329676242988 1 
uedin-nmt.4756 368 98 1.07357291356227 1 
uedin-nmt.4756 1480 99 1.10343483799607 1 
uedin-nmt.4756 1795 82 0.595782122621423 1 
uedin-nmt.4756 2655 29 -0.986899872370135 1 
uedin-nmt.4756 1502 82.5 0.610713084838325 2 
uedin-nmt.4756 1087 39 -0.688280628032106 2 
uedin-nmt.4756 1230 58.5 -0.105973101572947 2 
uedin-nmt.4756 2899 98.5 1.08850387577917 2 
uedin-nmt.4756 1947 100 1.13329676242988 1 
uedin-nmt.4756 1536 34 -0.83759025020112 1 
uedin-nmt.4756 2060 99 1.10343483799607 1 
uedin-nmt.4756 1783 90.75 0.312846590531797 4 
uedin-nmt.4756 286 91.25 0.593003102104128 4 
uedin-nmt.4756 2018 97.5 1.0422838764785 2 
uedin-nmt.4756 138 93 0.758240012656789 2 
uedin-nmt.4756 1901 90 0.518315521739959 2 
uedin-nmt.4756 2540 72.5 -0.148096240590725 2 
uedin-nmt.4756 618 56 -0.709252215097953 2 
uedin-nmt.4756 488 53.5 -1.01031312093336 2 
uedin-nmt.4756 1730 95.5 0.680086555724524 2 
uedin-nmt.4756 253 97 0.694796954314721 1 
uedin-nmt.4756 1534 93 0.578977632618817 3 
uedin-nmt.4756 2436 97 0.694796954314721 1 
uedin-nmt.4756 2934 98 0.741452672439534 1 
uedin-nmt.4756 1938 100 0.94519949604199 2 
uedin-nmt.4756 905 95 0.601485518065094 1 
uedin-nmt.4756 2406 79 0.506196349320014 1 
uedin-nmt.4756 1868 17.5 -1.58963213487413 2 
uedin-nmt.4756 865 25 -1.10634757010535 1 
uedin-nmt.4756 428 98 1.07357291356227 1 
uedin-nmt.4756 1209 99 1.10343483799607 1 
uedin-nmt.4756 1130 99 1.10343483799607 1 
uedin-nmt.4756 480 85 0.773580062559032 2 
uedin-nmt.4756 1232 90 0.834677518091847 1 
uedin-nmt.4756 2639 16 -1.37510489000957 1 
uedin-nmt.4756 989 91.5 0.817558730422105 2 
uedin-nmt.4756 471 62.5 -0.0830581803625552 2 
uedin-nmt.4756 328 96 1.01384906469466 1 
uedin-nmt.4756 1519 4 -1.73344798321521 1 
uedin-nmt.4756 1866 24 -1.13620949453915 1 
uedin-nmt.4756 199 57 -0.150765988223651 1 
uedin-nmt.4756 1849 30 -0.957037947936332 1 
uedin-nmt.4756 2000 96 0.715731287761999 2 
uedin-nmt.4756 726 74 0.0965781342041322 4 
