SYS SID RAW.SCR Z.SCR N 
online-B.0 1313 4 -0.814586655538407 1 
online-B.0 118 15.5 -0.48722906889824 2 
online-B.0 1698 53 0.198778138947646 1 
online-B.0 1686 52 0.167031593209922 1 
online-B.0 2706 41 0.238650797129956 1 
online-B.0 2134 97 1.59562615140753 1 
online-B.0 2329 8 -1.22981641924996 1 
online-B.0 1495 47 0.00829886452129853 1 
online-B.0 960 3 -0.843052532637552 1 
online-B.0 2444 78 1.29188824979832 1 
online-B.0 990 81 1.37728588109575 1 
online-B.0 2083 91 1.6619446520872 1 
online-B.0 1590 75 1.20649061850088 1 
online-B.0 1389 26 -0.188337359357218 1 
online-B.0 661 61 0.807968339112855 1 
online-B.0 1224 69 1.03569535590601 1 
online-B.0 2317 96 1.80427403758293 2 
online-B.0 152 3 -0.843052532637552 1 
online-B.0 2305 12 -0.586859638745247 1 
online-B.0 1976 93 1.46863996845663 1 
online-B.0 596 3 -0.843052532637552 1 
online-B.0 2674 66 0.611483233538067 1 
online-B.0 1895 81.5 1.1035546924728 2 
online-B.0 1987 94 1.50038651419436 1 
online-B.0 1892 95 1.53213305993208 1 
online-B.0 617 76 0.928948690915313 1 
online-B.0 447 75.5 0.913075418046453 2 
online-B.0 2626 28.5 -0.579012231626608 2 
online-B.0 405 51.5 0.537542506670978 2 
online-B.0 2003 92 1.69041052918635 1 
online-B.0 8 76 0.928948690915313 1 
online-B.0 1383 29 -0.102939728059783 1 
online-B.0 1832 73 1.14955886430259 1 
online-B.0 1512 21 -0.330666744852943 1 
online-B.0 2459 24 -0.245269113555508 1 
online-B.0 2682 86 1.51961526659148 1 
online-B.0 2115 92 1.69041052918635 1 
online-B.0 1977 72 0.801962507964415 1 
online-B.0 15 93 1.46863996845663 1 
online-B.0 2256 16 -0.472996130348667 1 
online-B.0 2958 72 0.801962507964415 1 
online-B.0 900 69 1.03569535590601 1 
online-B.0 1808 76 1.23495649560003 1 
online-B.0 303 81 1.37728588109575 1 
online-B.0 602 37 0.124787288733377 1 
online-B.0 1728 74 1.17802474140174 1 
online-B.0 1533 19 -0.387598499051232 1 
online-B.0 424 75 1.20649061850088 1 
online-B.0 2186 96 1.80427403758293 1 
online-B.0 292 2 -0.871518409736696 1 
online-B.0 1546 4 -0.814586655538407 1 
online-B.0 1272 54 0.608707199418841 1 
online-B.0 2587 29 -0.102939728059783 1 
