SYS SID RAW.SCR Z.SCR N 
online-A.0 778 73 0.609586397239039 1 
online-A.0 16 31 -0.619536439248702 1 
online-A.0 540 41 -0.326888144846859 1 
online-A.0 214 31 -0.619536439248702 1 
online-A.0 130 52.25 -0.147309676383868 4 
online-A.0 503 16.3333333333333 -0.91728516677375 3 
online-A.0 1307 98 1.34120713324365 1 
online-A.0 2452 19.5 -0.703058764472338 2 
online-A.0 1016 98.5 1.45163149942471 2 
online-A.0 545 90 1.10708849772217 1 
online-A.0 2821 48.5 -0.512597810572997 2 
online-A.0 1730 21 -0.912184733650545 1 
online-A.0 2939 88 1.0485588388418 1 
online-A.0 2671 69.5 0.393048756197502 2 
online-A.0 930 4.5 -1.35108339657239 2 
online-A.0 734 19 -0.776999989693309 2 
online-A.0 1597 100 1.39973679212401 1 
online-A.0 1857 60.8333333333333 -1.18524487950343 6 
online-A.0 941 94.6666666666667 0.550329459127349 3 
online-A.0 2640 82.25 0.172618618814595 4 
online-A.0 2410 92.3333333333333 0.38017858577399 3 
online-A.0 981 89.5 0.332471396018046 4 
online-A.0 589 90 0.260993535457157 3 
online-A.0 2572 97 0.629602616309981 3 
online-A.0 997 93 0.867692010672446 4 
online-A.0 2934 84.6666666666667 -0.00268533331514668 3 
online-A.0 1413 85 0.008222652154453 3 
online-A.0 1519 73.6666666666667 -0.255518987311373 3 
online-A.0 612 98.5 0.590189667826212 2 
online-A.0 1639 98 0.643467448006464 2 
online-A.0 1752 55.6666666666667 -0.742918533916451 3 
online-A.0 521 98.5 0.590189667826212 2 
online-A.0 1300 64 -0.549251289028206 3 
online-A.0 2917 76.5 -2.1112044848588 2 
online-A.0 1318 96.5 0.382832748495878 2 
online-A.0 1075 79.3333333333333 0.0460783580575579 3 
online-A.0 532 68.6666666666667 -0.051129034039209 3 
online-A.0 1850 1 -1.72979238771792 1 
online-A.0 1516 58 -0.215402093206206 2 
online-A.0 900 100 0.900464439591901 2 
online-A.0 2693 47.5 -0.174195583969358 2 
online-A.0 207 70 0.103416916164682 1 
online-A.0 1789 47 -0.0925598382525241 1 
online-A.0 1678 77.5 0.934012913275469 2 
online-A.0 1134 75.5 0.412769773555751 2 
online-A.0 2223 31 -0.63108980626721 1 
online-A.0 1604 51 -0.287632613489059 2 
online-A.0 2443 44.5 -0.513586983915873 2 
online-A.0 323 79 0.685709289887986 1 
online-A.0 1034 94 1.2071424524114 1 
online-A.0 1749 47.6666666666667 -0.330035579041763 3 
online-A.0 2954 62 0.0823115944288368 3 
online-A.0 2059 22 -1.295736727701 1 
online-A.0 2343 75.5 0.564041551965855 2 
online-A.0 865 77 0.616184868218197 1 
online-A.0 1921 20 -0.938603051424558 2 
online-A.0 183 88 0.998569187402036 1 
online-A.0 659 45.5 -0.53007446610892 2 
online-A.0 147 69 0.469175062221874 1 
online-A.0 1169 45 0.025752897497579 2 
online-A.0 360 54 -0.0415379953491064 1 
online-A.0 2592 21 -1.16510672200526 1 
online-A.0 1761 1 -1.81967908215157 2 
online-A.0 185 64 0.298937376364881 1 
online-A.0 2771 42.5 -0.0593659454309175 2 
online-A.0 2658 100 1.96640622290713 2 
online-A.0 1121 27 -0.844393864651608 2 
online-A.0 2439 7 -1.03138979215027 1 
online-A.0 1210 10.5 -1.35326379000032 2 
online-A.0 2302 33.5 -0.333704291397696 2 
online-A.0 1842 52 -0.0551267642776115 2 
online-A.0 617 95 1.2854526254432 2 
online-A.0 2364 75 0.758897530535588 1 
online-A.0 1186 75 0.758897530535588 1 
online-A.0 288 97 1.33810813493396 2 
online-A.0 1131 91 1.18014160646167 2 
online-A.0 2286 8 -1.00506203740489 1 
online-A.0 269 100 1.4170913991701 1 
online-A.0 156 9 -0.978734282659514 1 
online-A.0 2518 33.5 -0.468031461704242 2 
online-A.0 24 99 1.29486878113851 2 
online-A.0 2486 100 1.4170913991701 1 
online-A.0 2238 61 -0.170676047265674 2 
online-A.0 262 97 0.236291192073155 1 
online-A.0 2342 84.5 0.136490469233816 2 
online-A.0 2041 94 -0.229307215952768 1 
online-A.0 2927 94 -0.229307215952768 1 
online-A.0 887 50 -1.74772668907745 2 
online-A.0 1232 97 0.236291192073155 1 
online-A.0 2056 100 0.701889600099078 1 
online-A.0 2549 89.5 0.537823729028312 2 
online-A.0 2394 96 0.0810917227311807 1 
online-A.0 2800 93.5 1.10018618284258 2 
online-A.0 167 100 0.769504630887345 1 
online-A.0 1657 68 -0.448048528625055 1 
online-A.0 78 72.6666666666667 0.102409271343525 3 
online-A.0 841 81.3333333333333 -0.0253017420327894 3 
online-A.0 804 93 0.503164877244007 1 
online-A.0 2863 99 0.731456094652583 1 
online-A.0 1802 99.5 0.750480362769964 2 
online-A.0 1450 31 -1.85584436931127 1 
online-A.0 1965 28 -1.96998997801556 1 
online-A.0 754 65 -0.562194137329343 1 
online-A.0 849 57 -0.866582427207443 1 
online-A.0 1553 100 0.769504630887345 1 
online-A.0 2678 98 0.69340755841782 1 
online-A.0 828 80 0.00853390619209474 1 
online-A.0 1636 76 -0.143660238746955 1 
online-A.0 2653 47.5 -0.681134288730919 2 
online-A.0 2898 55.5 -0.52722345826531 2 
online-A.0 457 98.5 0.919891906613791 4 
online-A.0 1002 58 -0.460097924080729 4 
online-A.0 968 57.5 -0.426630055193752 2 
online-A.0 20 72.6 0.235044196451385 5 
online-A.0 799 74 0.131181276674019 2 
online-A.0 1279 86.3333333333333 0.962105670358779 3 
online-A.0 2254 33 -1.00870892725179 3 
