SYS SID RAW.SCR Z.SCR N 
uedin-nmt.5017 524 36.75 -1.19459785522412 4 
uedin-nmt.5017 955 60.25 -0.351781962124587 4 
uedin-nmt.5017 442 58.5 -0.505188711883633 4 
uedin-nmt.5017 704 64.5 -0.134653651550186 4 
uedin-nmt.5017 411 81.1666666666667 0.509125054271243 6 
uedin-nmt.5017 256 79.8333333333333 0.168632596632622 6 
uedin-nmt.5017 1950 66.5 0.0468598766017105 4 
uedin-nmt.5017 1737 90.8333333333333 0.897432356002393 6 
uedin-nmt.5017 341 69.75 0.0470643767767722 4 
uedin-nmt.5017 420 60.5 0.0242431318426262 4 
uedin-nmt.5017 1290 66.75 -0.0686169311233942 4 
uedin-nmt.5017 1511 69.5 -0.0991720673161413 2 
uedin-nmt.5017 1323 97.5 0.697028910701585 2 
uedin-nmt.5017 381 97 0.676995856161595 2 
uedin-nmt.5017 1547 94.5 0.57683058346164 2 
uedin-nmt.5017 1092 93.5 0.536764474381658 2 
uedin-nmt.5017 1728 78.5 -0.272497661829712 2 
uedin-nmt.5017 104 79.5 0.079427055413366 4 
uedin-nmt.5017 1780 90.5 0.601189036135684 4 
uedin-nmt.5017 1515 80.5 -0.0801604826830115 4 
uedin-nmt.5017 1837 85 0.187766664927852 2 
uedin-nmt.5017 336 68.5 -1.07429207453088 2 
uedin-nmt.5017 18 92.5 0.587096721636276 2 
uedin-nmt.5017 696 86.5 0.258916025935441 2 
uedin-nmt.5017 1396 65 -0.695516604334284 2 
uedin-nmt.5017 1768 81 0.582840831759492 2 
uedin-nmt.5017 1252 47 -0.50958410097605 1 
uedin-nmt.5017 2 32 -0.991536277182906 1 
uedin-nmt.5017 1025 59 -0.124022360010564 1 
uedin-nmt.5017 1772 47 -0.50958410097605 1 
uedin-nmt.5017 1747 53 -0.316803230493307 1 
uedin-nmt.5017 1160 52 -0.210800497784049 2 
uedin-nmt.5017 111 80.5 0.620878213724273 2 
uedin-nmt.5017 1645 63.6666666666667 0.159024019421112 3 
uedin-nmt.5017 1921 63 0.0214313374060695 2 
uedin-nmt.5017 431 91.5 0.853110048914393 2 
uedin-nmt.5017 656 41.5 -0.570468623574973 2 
uedin-nmt.5017 1007 80.5 0.231669210082249 2 
uedin-nmt.5017 1732 67.5 0.291225495255809 2 
uedin-nmt.5017 1497 33 -0.894989306670273 2 
uedin-nmt.5017 799 37 -0.824694421279031 2 
uedin-nmt.5017 101 89.5 0.740120805490367 2 
uedin-nmt.5017 1647 64.3333333333333 -0.552423570560904 3 
uedin-nmt.5017 1468 83 0.212014776787733 2 
uedin-nmt.5017 1346 71 -0.070248978924276 3 
uedin-nmt.5017 455 85 0.331876272776846 2 
uedin-nmt.5017 462 62 -0.778699508955547 2 
uedin-nmt.5017 782 83.5 0.33304283431343 4 
uedin-nmt.5017 1319 86 0.423946791428491 4 
uedin-nmt.5017 655 86 0.445373305199884 2 
uedin-nmt.5017 47 84 0.282658781667985 2 
uedin-nmt.5017 808 72.5 -0.411901448712264 2 
uedin-nmt.5017 1574 75.5 0.16146389826654 2 
uedin-nmt.5017 40 92 0.757394454309645 4 
uedin-nmt.5017 1041 22.5 -1.65029109021957 2 
uedin-nmt.5017 1485 88.5 0.638592332881947 2 
uedin-nmt.5017 475 66.5 -0.122509223817167 2 
uedin-nmt.5017 747 86.5 0.57827657114321 2 
uedin-nmt.5017 1554 43.5 -0.957003997167976 2 
uedin-nmt.5017 1849 86 1.0030895870158 2 
uedin-nmt.5017 1356 99 1.43044225408617 2 
uedin-nmt.5017 321 81 -0.591626476869166 1 
uedin-nmt.5017 516 100 0.807987671609269 1 
uedin-nmt.5017 974 97 0.586995963954779 1 
uedin-nmt.5017 1359 99 0.734323769057772 1 
uedin-nmt.5017 1149 89.5 0.0345166948185545 2 
uedin-nmt.5017 57 95 0.439668158851786 1 
uedin-nmt.5017 1783 95 0.439668158851786 1 
uedin-nmt.5017 961 84 -0.370634769214677 1 
uedin-nmt.5017 105 88 0.432724178584536 1 
uedin-nmt.5017 1381 98 0.790090517319938 1 
uedin-nmt.5017 728 90.5 0.998096417081094 2 
uedin-nmt.5017 1869 90 0.504197446331617 1 
uedin-nmt.5017 152 94 0.647143981825777 1 
uedin-nmt.5017 1277 91 0.539934080205157 1 
uedin-nmt.5017 1371 78 0.0753578398491342 1 
uedin-nmt.5017 1866 78 0.0753578398491342 1 
uedin-nmt.5017 783 98 0.704829235722462 1 
uedin-nmt.5017 191 78 -0.120497738191428 1 
uedin-nmt.5017 1143 86.5 0.529631074069932 2 
uedin-nmt.5017 1391 78 -0.120497738191428 1 
uedin-nmt.5017 1873 94 0.539763840939684 1 
uedin-nmt.5017 1137 74 -0.285563132974206 1 
uedin-nmt.5017 1599 95 0.581030189635379 1 
uedin-nmt.5017 727 81.5 0.362692534011029 2 
uedin-nmt.5017 549 48.5 -0.447711410672814 2 
uedin-nmt.5017 183 87 0.575987036098635 4 
uedin-nmt.5017 1303 84 0.110289115145878 2 
uedin-nmt.5017 579 54.5 -0.22036017052999 2 
uedin-nmt.5017 265 72 -0.08039663947876 2 
uedin-nmt.5017 598 45 -0.78079011098023 2 
uedin-nmt.5017 1898 65.5 -0.028452700275676 2 
uedin-nmt.5017 954 94 0.743446177131555 2 
uedin-nmt.5017 1913 93 0.920679043201908 2 
uedin-nmt.5017 1229 66.5 -0.0590096076454678 2 
uedin-nmt.5017 1528 98 1.1199168072343 2 
uedin-nmt.5017 602 61 -0.34761977496648 4 
uedin-nmt.5017 1699 75.5 0.325681582214045 2 
uedin-nmt.5017 1131 81.5 0.622908065243299 2 
uedin-nmt.5017 1495 97.5 1.38348641371977 2 
uedin-nmt.5017 868 54.5 -0.646396567037052 2 
uedin-nmt.5017 948 77 0.455232373784027 2 
uedin-nmt.5017 1038 63 -0.226126356235647 2 
uedin-nmt.5017 1770 92 0.184309413890047 2 
uedin-nmt.5017 1134 91.6 0.550874622321783 5 
uedin-nmt.5017 49 92.5 0.237295008494918 2 
uedin-nmt.5017 291 92.5 0.237295008494918 2 
uedin-nmt.5017 1360 94 0.366341731907789 2 
uedin-nmt.5017 1431 71 -0.160616163264318 3 
uedin-nmt.5017 1475 87 -0.166086169748214 2 
uedin-nmt.5017 229 91.5 0.168711394787352 2 
uedin-nmt.5017 253 91.5 0.176188909887787 2 
uedin-nmt.5017 553 92.5 0.244772523595353 2 
uedin-nmt.5017 1172 95 0.427447830514919 2 
uedin-nmt.5017 626 92.5 0.199907432992743 2 
uedin-nmt.5017 69 87.6666666666667 0.310883141302672 3 
uedin-nmt.5017 162 67.75 -0.211768350922109 4 
uedin-nmt.5017 773 67 -0.818013109249954 3 
uedin-nmt.5017 1331 64 -0.229725964437624 4 
uedin-nmt.5017 1067 8.5 -1.33016292563711 2 
uedin-nmt.5017 670 100 1.28894419069161 1 
uedin-nmt.5017 95 79 0.68783763940305 1 
uedin-nmt.5017 315 33.5 -0.614559888388825 2 
uedin-nmt.5017 1021 18.6666666666667 -1.25285637214436 3 
uedin-nmt.5017 1702 25 -0.857864921053242 1 
uedin-nmt.5017 1561 61 -0.094999106837476 2 
uedin-nmt.5017 1125 20 -1.0009855285029 1 
