SYS SID RAW.SCR Z.SCR N 
online-B.0 2037 92 0.878043364950337 1 
online-B.0 2791 81.5 0.511472786323915 2 
online-B.0 1060 94 0.94786633230775 1 
online-B.0 1635 97 1.05260078334387 1 
online-B.0 2213 88 0.738397430235509 1 
online-B.0 1680 96 1.01768929966516 1 
online-B.0 557 63 -0.134389661732161 1 
online-B.0 502 83 0.563840011841975 1 
online-B.0 1349 95 0.934393574636807 1 
online-B.0 578 94 0.909810739208319 2 
online-B.0 992 94 0.90981073920832 1 
online-B.0 427 98 1.00814208092227 1 
online-B.0 934 99 1.03272491635076 1 
online-B.0 676 98 1.00814208092227 1 
online-B.0 972 96 0.958976410065294 1 
online-B.0 762 97 0.983559245493782 1 
online-B.0 2136 51 -0.590825656667534 1 
online-B.0 282 26 -1.383242041683 1 
online-B.0 2286 62.5 -0.226314119560418 2 
online-B.0 1226 98 0.898917147161549 1 
online-B.0 20 87 0.550253937754742 1 
online-B.0 1272 77 0.233287383748554 1 
online-B.0 2592 20 -1.57342197408672 1 
online-B.0 969 99 0.930613802562167 1 
online-B.0 2659 100 0.962310457962786 1 
online-B.0 2438 99 0.930613802562167 1 
online-B.0 2748 30.25 -0.919735764958994 4 
online-B.0 2324 32.5 -0.769908635105744 2 
online-B.0 1039 71.5 0.392629683884637 2 
online-B.0 605 50.5 -0.168781813187618 2 
online-B.0 531 100 1.2799606305681 2 
online-B.0 1614 53.5 -0.245152979561577 2 
online-B.0 2404 100 1.2799606305681 2 
online-B.0 2183 99 1.09801068392413 1 
online-B.0 1065 95 0.979419007518119 1 
online-B.0 386 100 1.12765860302563 1 
online-B.0 1011 54 -0.236145675643464 1 
online-B.0 194 88 0.771883573807605 1 
online-B.0 1108 100 1.12765860302563 1 
online-B.0 1605 87 0.742235654706103 1 
online-B.0 2954 100 0.859432626620877 1 
online-B.0 2906 99 0.827292289050912 2 
online-B.0 1109 99 0.827292289050912 1 
online-B.0 2495 100 0.859432626620877 1 
online-B.0 1691 84 0.345187225501429 1 
online-B.0 2456 99 0.827292289050912 1 
online-B.0 2831 100 0.859432626620877 1 
online-B.0 1852 57 -0.668717857503237 1 
online-B.0 1424 65.5 -0.305284239294954 2 
online-B.0 2679 95.5 0.977422648498979 2 
online-B.0 794 66 -0.283905791165057 1 
online-B.0 948 76 0.14366317143292 1 
online-B.0 2885 48 -1.05352992384142 1 
online-B.0 158 99.5 0.776385701622306 2 
online-B.0 1490 90 0.440211400555218 1 
online-B.0 2415 99 0.758692317355617 1 
online-B.0 1195 73 -0.161363664512202 1 
online-B.0 1396 100 0.794079085888995 1 
online-B.0 993 98.5 0.740998933088929 2 
online-B.0 2718 100 0.794079085888995 1 
online-B.0 699 100 0.794079085888995 1 
online-B.0 195 90 0.440211400555218 1 
online-B.0 1033 99 0.758692317355617 1 
online-B.0 147 99 0.758692317355617 2 
online-B.0 377 99 0.758692317355617 1 
online-B.0 1867 97 0.687918780288862 1 
online-B.0 390 99 0.758692317355617 2 
online-B.0 1006 98 0.72330554882224 2 
online-B.0 1445 96 0.652532011755484 1 
online-B.0 2600 96 0.652532011755484 1 
online-B.0 1138 98 0.72330554882224 1 
online-B.0 1077 81 0.121730483754819 1 
online-B.0 1151 58 -0.053221984856661 2 
online-B.0 423 58 -0.053221984856661 1 
online-B.0 396 75 0.519419624360578 1 
online-B.0 855 78 0.62047402598715 2 
online-B.0 496 25 -1.16482040274895 1 
online-B.0 2640 44.5 -0.507966792176234 2 
online-B.0 2518 33 -0.895341998411425 1 
online-B.0 996 51 -0.289015588651995 1 
online-B.0 1089 98 1.29417003683096 1 
online-B.0 1715 50 -0.322700389194185 1 
online-B.0 1091 36 -0.794287596784853 1 
online-B.0 1687 99 1.32785483737315 1 
online-B.0 2872 99 0.932956564568159 1 
online-B.0 1866 100 0.966576620948993 1 
online-B.0 2031 99 0.932956564568159 1 
online-B.0 518 100 0.966576620948993 1 
online-B.0 1360 74 0.092455155047295 1 
online-B.0 150 47 -0.815286367235238 1 
online-B.0 2501 100 0.966576620948993 1 
online-B.0 140 74 -0.20730564061322 2 
online-B.0 1500 99.5 0.840002977731638 2 
online-B.0 2366 89 0.530071991982855 2 
online-B.0 2309 86 0.362955193361881 2 
online-B.0 1679 99.5 0.840002977731638 2 
online-B.0 102 18 -1.70540642727397 1 
online-B.0 2373 89 0.773308913914216 1 
online-B.0 2627 83 0.563840011841975 1 
online-B.0 1071 58 -0.308947080125695 1 
online-B.0 2839 99.5 0.819281818389757 2 
online-B.0 1860 24 -1.14314766411109 1 
online-B.0 1807 99 0.806285596651341 1 
online-B.0 1918 25 -1.11715522063426 1 
online-B.0 517 99 0.806285596651341 1 
online-B.0 1823 99 0.806285596651341 1 
online-B.0 1754 2 -1.7149814206014 1 
online-B.0 539 99 0.806285596651341 1 
online-B.0 1184 3 -1.68898897712457 1 
online-B.0 2392 50 -0.467344133713447 1 
online-B.0 832 99 0.806285596651341 1 
online-B.0 834 99 0.806285596651341 1 
online-B.0 2726 51 -0.441351690236614 1 
online-B.0 1564 75 -0.475720654132769 1 
online-B.0 2347 100 0.729245541745572 1 
online-B.0 2155 88 0.150861767723968 1 
online-B.0 2610 73 -0.06093499609682 2 
online-B.0 2772 92 0.343656359064503 1 
online-B.0 1449 86 0.0544644720537008 1 
online-B.0 2163 82 -0.138330119286834 1 
online-B.0 1999 94 0.44005365473477 1 
online-B.0 1167 95 0.488252302569903 1 
online-B.0 1053 78 0.585894701615899 2 
online-B.0 2396 80 0.689501191733653 1 
online-B.0 2725 75.5 0.456386588968706 2 
