SYS SID RAW.SCR Z.SCR N 
online-A.0 2524 93.3333333333333 1.44835820653607 3 
online-A.0 1633 31.6 -0.310296570534321 5 
online-A.0 2872 50.5 0.214607407373295 2 
online-A.0 2828 36.5 -0.141036133626092 2 
online-A.0 2284 35 -0.171876997265483 2 
online-A.0 84 78 1.00464682028495 2 
online-A.0 499 21.5 -0.498453551006801 2 
online-A.0 2568 58 0.521964166153992 2 
online-A.0 1774 99 1.42115515151946 1 
online-A.0 80 77 0.639302658653863 1 
online-A.0 2795 97 1.35007765216804 1 
online-A.0 697 72 0.461608910275319 1 
online-A.0 762 64 0.177298912869647 1 
online-A.0 1299 64.5 0.229825303171002 2 
online-A.0 1409 13 -1.63517732059151 1 
online-A.0 688 72 0.461608910275319 1 
online-A.0 2154 88 1.03022890508666 1 
online-A.0 1790 23 -1.27978982383442 1 
online-A.0 1209 53 0.0571622054439415 2 
online-A.0 393 97.5 1.32932691401476 2 
online-A.0 2804 77 0.369949958792131 2 
online-A.0 447 70.5 0.612372411098308 2 
online-A.0 578 85.25 0.763491818063526 4 
online-A.0 576 80 0.615258544504439 2 
online-A.0 2805 22 -0.631397649298849 1 
online-A.0 1560 22 -0.631397649298849 1 
online-A.0 2172 88 1.12174685443376 1 
online-A.0 1451 74 0.749867717278355 1 
online-A.0 1391 78 0.856118899322755 1 
online-A.0 2073 14 -0.843900013387649 1 
online-A.0 2652 83 0.988932876878255 1 
online-A.0 1972 0 -1.19366372779798 1 
online-A.0 2300 44.5 0.0143880321977015 2 
online-A.0 2419 84 1.08670363938488 1 
online-A.0 539 10 -0.92219142218097 1 
online-A.0 2873 90 1.24958702275508 1 
online-A.0 1654 91.5 1.29030786859763 2 
online-A.0 2170 10 -0.92219142218097 1 
online-A.0 2038 25 -0.798939550469045 1 
online-A.0 1236 50.5 -0.0204543178759748 2 
online-A.0 2504 75 0.727502082066387 1 
online-A.0 2827 40 -0.341007060708415 1 
online-A.0 2659 71.5 0.620651167788906 2 
online-A.0 1498 25 -0.798939550469045 1 
online-A.0 847 75 0.727502082066387 1 
online-A.0 2062 75 0.727502082066387 1 
online-A.0 1640 85 1.03279040857347 1 
online-A.0 1885 65 0.615370154694364 1 
online-A.0 751 45 -0.118961772148552 1 
online-A.0 1710 53 0.174770998588614 1 
online-A.0 284 32 -0.596277524596448 1 
online-A.0 1598 43.5 -0.174036666661772 2 
online-A.0 351 71 0.835669732747238 1 
online-A.0 2627 25 -0.853293698991469 1 
online-A.0 2408 40 -0.302544753859282 1 
online-A.0 163 57 0.321637383957197 1 
online-A.0 1873 77 1.05596931080011 1 
online-A.0 1707 32 -0.596277524596448 1 
online-A.0 94 54 0.304168766186725 1 
online-A.0 1770 13 -0.951714357041446 1 
online-A.0 1330 76 0.978057271333549 1 
online-A.0 1704 70 0.794269497202597 1 
online-A.0 1132 67 0.702375610137121 1 
online-A.0 2221 65 0.641113018760137 2 
online-A.0 489 98 1.65194577648037 1 
online-A.0 292 70 0.794269497202597 1 
online-A.0 2031 12 -0.982345652729938 1 
online-A.0 622 51 0.352819311744031 2 
online-A.0 2814 71 0.824900792891089 1 
online-A.0 2290 86 1.14845548110205 1 
online-A.0 1962 87 1.18737298300317 2 
online-A.0 1791 40 -0.641749606349468 1 
online-A.0 246 35 -0.836337115855068 1 
online-A.0 2784 59 0.097682929771811 1 
online-A.0 2521 76 0.759280462090851 1 
online-A.0 2624 37 -0.529193764365549 1 
online-A.0 644 99 1.17522251566895 1 
online-A.0 133 99 1.17522251566895 1 
online-A.0 1680 0 -1.54634541535388 1 
online-A.0 2127 97 1.12024134534525 1 
online-A.0 551 98 1.1477319305071 1 
online-A.0 2563 78 0.597920227270166 1 
online-A.0 2250 74 0.487957886622779 1 
online-A.0 695 83.5 0.648429878068851 2 
online-A.0 1861 96 1.05987015603132 1 
online-A.0 1377 25 -1.2771106227955 1 
online-A.0 2552 87 0.763633155898342 1 
online-A.0 338 92 0.92820926708333 1 
online-A.0 1393 86 0.730717933661345 1 
online-A.0 473 61 -0.0921626222635929 1 
online-A.0 2022 15 -1.60626284516548 1 
online-A.0 902 97 1.09278537826832 1 
online-A.0 14 99 1.15861582274231 1 
online-A.0 1672 72 0.855532088579581 1 
online-A.0 1525 49 0.151012287744265 1 
online-A.0 1511 80.5 1.11589810193176 2 
online-A.0 208 43 -0.0327754863866864 1 
online-A.0 2246 74 0.916794679956565 1 
online-A.0 2392 6.5 -1.15081777901664 2 
online-A.0 2395 46 0.0591184006787895 1 
online-A.0 432 63 0.579850427383153 1 
online-A.0 1863 45 0.0284871049902975 1 
online-A.0 896 31 -0.40035103464859 1 
online-A.0 2675 24 -0.614770104468034 1 
online-A.0 963 81.5 0.750048628913033 2 
online-A.0 716 63.5 -0.0593644291692593 2 
online-A.0 2561 62 0.157255136854867 2 
online-A.0 2134 94 1.18646128638072 2 
online-A.0 597 5 -1.31620437441902 1 
online-A.0 1541 83 1.09425032386622 1 
online-A.0 1674 7 -1.25439784369376 1 
online-A.0 1585 50 0.0744425668993888 1 
online-A.0 1762 65 0.537991547338858 1 
online-A.0 2207 1 -1.43981743586954 1 
online-A.0 2700 48.5 -0.195294641905122 2 
online-A.0 712 87 1.05334589773632 1 
online-A.0 1032 76 0.480025517968903 1 
online-A.0 303 87.5 1.07940591499848 2 
online-A.0 23 75 0.427905483444592 1 
online-A.0 1590 95 1.47030617393081 1 
online-A.0 1162 83 0.844865759639079 1 
online-A.0 656 88 1.10546593226063 1 
online-A.0 562 93 1.36606610488219 1 
online-A.0 2479 58 -0.458135103468693 1 
online-A.0 409 66 0.196118681257532 3 
online-A.0 3002 77 0.573269873691501 2 
online-A.0 1810 53 -0.170833802273671 1 
online-A.0 2347 100 1.28636922982479 1 
online-A.0 867 76.5 0.55776771377556 2 
online-A.0 279 72 0.418248274532091 1 
online-A.0 1444 94 1.1003433108335 1 
online-A.0 2824 60 0.0461964365495045 1 
online-A.0 594 73 0.59030994324295 1 
online-A.0 1127 62.5 0.269821090913531 2 
online-A.0 1957 36 -0.539031726870243 1 
online-A.0 1474 94 1.23128764790179 2 
online-A.0 282 54 0.0103777342659051 1 
online-A.0 2653 65 0.346127960515773 1 
online-A.0 1617 95 1.26181039574269 1 
online-A.0 1493 60 0.193514221311288 1 
