54.4 0.196 336 393 tilde-nc-nmt-smt-hybrid.5047 
51.6 0.121 333 376 online-B.0 
51.1 0.104 306 377 tilde-c-nmt-smt-hybrid.5049 
50.8 0.075 383 448 limsi-factored-norm.5041 
50 0.058 380 458 usfd-consensus-qt21.5077 
47.3 -0.027 247 299 usfd-consensus-kit.5078 
47.1 -0.014 340 402 QT21-System-Combination.5063 
45.7 -0.063 280 325 KIT.5062 
45.2 -0.072 325 384 uedin-nmt.5016 
44.9 -0.099 358 418 tilde-nc-smt.5044 
43.2 -0.157 334 393 LIUM-FNMT.5043 
43 -0.198 353 420 LIUM-NMT.5042 
40.1 -0.253 343 407 HY-HNMT.5066 
37.5 -0.341 359 430 online-A.0 
36.1 -0.368 346 427 jhu-pbmt.4969 
33.3 -0.457 378 439 C-3MA.5069 
18.8 -0.947 409 486 PJATK.4744 
