RAW.SCR Z.SCR N SYS N.ALL 
66.0284172968186 -0.0027386411344131 466 RWTH-nmt-ensemble.4921 689 
69.8229631859769 0.138976001856383 365 uedin-nmt.4722 558 
60.2888672000514 -0.233756690104503 494 PROMT-Rule-based.4735 666 
58.9093056414485 -0.270079970628455 462 C-3MA.4959 686 
68.9485155009685 0.0922487897711588 479 SYSTRAN.4847 700 
53.1612732390349 -0.491431888981618 516 online-G.0 740 
72.919852582846 0.256674399343133 456 LMU-nmt-reranked.4934 642 
66.8683402653991 0.0351687158179312 357 LMU-nmt-single.4893 516 
54.8879585537919 -0.440005683394844 450 online-F.0 640 
60.0716309435822 -0.233098958538537 451 online-A.0 624 
66.4229133248741 0.0147631703628017 459 xmu.4910 684 
58.125518590998 -0.300601483111534 365 fbk-nmt-combination.4870 572 
70.1818081609748 0.158104410911545 450 online-B.0 644 
66.6484624338624 0.00607314993522729 375 LIUM-NMT.4900 612 
55.2219888403821 -0.390759898666685 473 TALP-UPC.4834 681 
66.7260442260442 0.0223453580883957 407 KIT.4950 575 
