 online-B online-A KIT uedin-nmt RWTH-nmt-ensemble SYSTRAN LIUM-NMT TALP-UPC online-G C-3MA online-F
online-B 0.500004849750236 0.0190563201776877 0.0162869448764293 0.052113630641879 0.000458994236777632 2.42231978926445e-05 3.48240566564002e-13 2.03898017011148e-27 3.05698845965496e-31 8.92305015108603e-34 7.70223362130761e-87
online-A 0.98094478816173 0.500004667500803 0.475237136599472 0.635980886337305 0.107076735170095 0.0190680544130911 1.40166384566497e-07 3.59383560418572e-19 3.05403438228553e-22 2.3422653992127e-24 1.12814089253907e-71
KIT 0.983714024771014 0.524772183550666 0.500004670653779 0.657082595366203 0.124184011215586 0.0224387855887295 2.06681335369677e-07 7.79763006095613e-19 6.03281768013556e-22 5.41521534924112e-24 1.20331376303958e-70
uedin-nmt 0.947888964449208 0.364028082948945 0.342926187392208 0.500004863219768 0.0546635871501687 0.00845634943919111 3.11781544138717e-08 2.20715247171029e-19 1.86911986325358e-22 1.04258584367639e-24 1.46395527406191e-69
RWTH-nmt-ensemble 0.999541045227307 0.892927614039793 0.8758208227404 0.945339077621616 0.500004740947737 0.20904114429981 4.67049124952039e-05 1.70136420094903e-14 3.0683684644975e-17 2.8252059127076e-19 1.86162405157963e-61
SYSTRAN 0.999975779258047 0.980933024774223 0.977562453528866 0.99154419577537 0.790965579339936 0.500004592858596 0.00114815497422509 1.64072434114455e-11 8.01842577650217e-14 1.14401337789162e-15 1.36396035901217e-53
LIUM-NMT 0.999999999999652 0.999999859851182 0.99999979334423 0.999999968826035 0.999953299676627 0.998851934364415 0.500004734485623 0.000109546176840707 3.74427345835498e-06 2.72279742803857e-07 2.217789844689e-36
TALP-UPC 1 1 1 1 0.999999999999983 0.999999999983595 0.999890464107326 0.50000478003465 0.224879938698765 0.0940097800335543 1.94945716203244e-18
online-G 1 1 1 1 1 0.99999999999992 0.999996256146265 0.775127270765245 0.500004813021826 0.291337235740378 1.37721145940499e-15
C-3MA 1 1 1 1 1 0.999999999999999 0.999999727753586 0.905994190016972 0.708670912356504 0.500004664348925 1.43807655886132e-13
online-F 1 1 1 1 1 1 1 1 0.999999999999999 0.999999999999856 0.500004853107021

