 uedin-nmt online-B limsi-factored-norm LIUM-FNMT LIUM-NMT CU-Chimera online-A tuning-task-ufal_8gb tuning-task-afrl_4gb PJATK tuning-task-baseline_8gb tuning-task-afrl_8gb tuning-task-ufal_4gb tuning-task-denisov_4gb
uedin-nmt 0.500011147525338 0.0097102715491256 4.90043406119329e-10 4.23885824351324e-10 1.01657825956622e-10 1.41119022257732e-14 1.93138103082741e-17 1.40687626285835e-56 3.55233691545658e-70 1.08890785803327e-68 1.12135030794069e-80 1.3477740395224e-80 1.03368572233461e-110 4.9510835479528e-116
online-B 0.990290995615816 0.500008528327898 1.67098312762651e-05 1.38884521105388e-05 4.13066728859951e-06 3.122149280371e-09 1.07119472500944e-11 4.99971251708364e-49 1.03563380749851e-63 3.47519020354949e-62 1.01225231358975e-74 7.80637022922285e-75 8.22901780282632e-107 5.81670450535555e-112
limsi-factored-norm 0.999999999510128 0.999983293716262 0.500011067012012 0.458075836765862 0.354781948058845 0.0477918331790477 0.00675034254301039 4.21182767542364e-25 8.3359403660331e-37 9.18112744456166e-36 1.50276279627953e-45 8.99365619058597e-46 1.50081187651839e-70 3.72062045988779e-73
LIUM-FNMT 0.999999999576249 0.999986114265432 0.541944210932504 0.500009197778926 0.390285305651127 0.0648333668413372 0.0109761921586003 3.9248717294322e-24 1.32363559375365e-35 4.53146055203497e-35 2.63219291813355e-44 3.55782510214857e-44 1.25575653805646e-68 2.46082416866649e-71
LIUM-NMT 0.999999999898377 0.999995870224147 0.64523768033165 0.609733145354179 0.500010004084137 0.108346949958501 0.0236245440991354 2.27097410339606e-22 4.52773656943523e-33 1.46636894427456e-32 2.43318410429636e-41 1.78793788064558e-41 2.35148089744223e-64 3.61366736596624e-67
CU-Chimera 0.999999999999986 0.999999996878678 0.952213190711085 0.935172464734075 0.891661987819922 0.500009187850453 0.227441245859467 9.33175573348959e-18 1.74839327206899e-28 9.25236610878523e-28 3.11232102819733e-36 2.06545055555666e-36 1.42160882234252e-58 1.28123990855658e-60
online-A 1 0.999999999989291 0.993250514884452 0.989025008783447 0.976377868014031 0.77257128459815 0.500007485501777 9.56945185644039e-16 1.80651549525992e-26 5.83606423906328e-26 3.68125498261508e-34 3.08793931300419e-34 9.20761141009277e-57 1.69750539683247e-58
tuning-task-ufal_8gb 1 1 1 1 1 1 0.999999999999999 0.500008766003632 0.00138645245240967 0.00135485743166523 1.74256182473457e-06 1.23035994331076e-06 3.77182075107268e-17 4.04703062435471e-17
tuning-task-afrl_4gb 1 1 1 1 1 1 1 0.998613732616189 0.500007548223974 0.424462516581742 0.0479455516188779 0.0466905665343994 1.46002873266033e-07 2.06566474444777e-07
PJATK 1 1 1 1 1 1 1 0.998645330179365 0.575552823182701 0.500008083679876 0.0777930567403418 0.0682130027506991 8.00561109009851e-07 8.13214780800465e-07
tuning-task-baseline_8gb 1 1 1 1 1 1 1 0.999998257796565 0.952058381946232 0.922212884933969 0.500008203198259 0.484393515987433 0.000313992371094054 0.000449010431492407
tuning-task-afrl_8gb 1 1 1 1 1 1 1 0.999998769907453 0.953313442912624 0.93179259330729 0.515623559554312 0.500008902942239 0.000337077680834892 0.000596077823914427
tuning-task-ufal_4gb 1 1 1 1 1 1 1 1 0.999999854027152 0.999999199599023 0.999686054214574 0.999662974142688 0.50000790591763 0.59048440079346
tuning-task-denisov_4gb 1 1 1 1 1 1 1 1 0.999999793474254 0.999999186942937 0.999551052568115 0.999404007428653 0.409530544490838 0.500007444124786

