 LMU-nmt-reranked online-B uedin-nmt SYSTRAN LMU-nmt-single KIT xmu LIUM-NMT RWTH-nmt-ensemble online-A PROMT-Rule-based C-3MA fbk-nmt-combination TALP-UPC online-F online-G
LMU-nmt-reranked 0.500050151182627 0.0138361633365577 0.0222670115260614 0.00395012107700472 0.000227439471274318 0.000385591931743505 3.48695686932614e-05 7.21953454681621e-05 2.08334921838026e-05 2.46127038984103e-14 9.15834146440687e-17 7.97070170841141e-18 2.40955042710165e-18 9.41786786020493e-26 1.71205571844027e-27 3.20624650829473e-35
online-B 0.986172804397917 0.500051156831285 0.502626205172275 0.278655499836372 0.0540189469274222 0.076168904941303 0.0299835531735064 0.0310840566450809 0.0217840485029135 3.93436310718311e-09 8.35637878317947e-11 1.29202190419671e-11 1.72747671531231e-12 2.08377749908125e-18 1.56047146740206e-20 2.76658650288065e-27
uedin-nmt 0.977748687180248 0.497493166181538 0.500070021411938 0.309526609453559 0.0638700878380559 0.0884348106371529 0.0404707199665869 0.0379996715096329 0.0298067758696788 6.23181071895643e-08 2.83772030910802e-09 4.41225977180638e-10 5.30842144347119e-11 5.25866522712925e-16 2.12218394014711e-17 7.18354463099342e-23
SYSTRAN 0.996052716182445 0.721426663405651 0.690573864638145 0.500046583673553 0.15229993624096 0.19118353943262 0.0971341091780644 0.0936840717475841 0.0753566053469848 2.44544446065065e-07 1.13219804608401e-08 2.1067547854728e-09 3.4971264384465e-10 2.4228402192138e-15 3.74099343444497e-17 1.04831348924097e-22
LMU-nmt-single 0.999772817540663 0.946014390337092 0.936174540550221 0.84776825297985 0.500072386709563 0.544280232610338 0.432600773621869 0.397161851169057 0.385812142414874 9.58939766804528e-05 1.61362775821555e-05 3.32265134985913e-06 5.09113699568654e-07 8.76806534513768e-11 3.1985579114303e-12 2.18090623198942e-16
KIT 0.999614789994992 0.923870668857031 0.911616993075676 0.808888211860664 0.455850044341879 0.500059471212157 0.359176820478561 0.350347853134807 0.31911221621522 5.95988275036017e-05 7.68382459808111e-06 1.70754547616854e-06 3.47432584839381e-07 4.857333035523e-11 1.36561175527509e-12 1.01201878982809e-16
xmu 0.999965167086648 0.970033627393246 0.959554907536178 0.902907304943981 0.567516955816898 0.640924927376554 0.500049659846834 0.454908214544735 0.434795513352933 7.1989800769814e-05 7.37570305912196e-06 1.83767260064784e-06 2.34471434075092e-07 1.71888961265219e-11 4.43073941403257e-13 5.61672899602299e-18
LIUM-NMT 0.999927889228491 0.96893649801631 0.962028748614199 0.906362681902642 0.602972990982038 0.649769556023091 0.545206322535669 0.500067239636468 0.49732265686479 0.000229450716311067 3.96048153969465e-05 1.06026757560016e-05 1.41827932133968e-06 3.23972400732731e-10 1.70884527489695e-11 1.12353180169823e-15
RWTH-nmt-ensemble 0.999979188754194 0.978228950891156 0.97021292678016 0.9246772565638 0.614301020026382 0.680983884581257 0.565301367357033 0.502791270809165 0.500048545603575 0.000110293033286851 1.64147379396371e-05 3.72871802131337e-06 5.04574194441584e-07 4.77152427380609e-11 1.49910586407056e-12 2.00240538475718e-17
online-A 0.999999999999975 0.999999996071611 0.999999937783527 0.999999755766938 0.9999042214672 0.999940468231049 0.9999280834657 0.999770801513233 0.999889815154723 0.50005098646094 0.443549779450901 0.27582234996949 0.118930977627092 0.00520194103185404 0.000831230881078063 1.1826672180565e-05
PROMT-Rule-based 1 0.999999999916567 0.999999997167003 0.999999988692889 0.999983883662818 0.999992325133579 0.999992632185749 0.999960440278125 0.999983601966682 0.55654445752417 0.500044478397209 0.317558531422768 0.130652582954525 0.00475392802746252 0.000597748937616314 4.38729086960806e-06
C-3MA 1 0.999999999987102 0.999999999559586 0.999999997896295 0.999996682006046 0.999998294692883 0.99999816452435 0.999989410930013 0.999996275558878 0.724261525708595 0.682525017294104 0.500049176951053 0.268387546496088 0.0233730345448702 0.00392797918521299 7.15717776279108e-05
fbk-nmt-combination 1 0.999999999998276 0.999999999947039 0.999999999650917 0.999999491808236 0.999999653145424 0.999999765889205 0.999998584099352 0.999999496171694 0.8811283896927 0.869406460730766 0.731709087347259 0.500070020677526 0.0986163839877167 0.0248459400675322 0.00125791226798043
TALP-UPC 1 1 0.999999999999999 0.999999999999998 0.999999999912487 0.999999999951512 0.999999999982839 0.999999999676606 0.999999999952361 0.994801751586541 0.995249255128613 0.976640340601881 0.901433608364661 0.500047472055359 0.214418769561328 0.0380385520335954
online-F 1 1 1 1 0.999999999996808 0.999999999998637 0.999999999999558 0.999999999982945 0.999999999998504 0.999169496236698 0.999402751893722 0.996074950550876 0.975171452549882 0.785653284711835 0.500051156393389 0.170490750735005
online-G 1 1 1 1 1 1 1 0.999999999999999 1 0.999988185448921 0.999995617111027 0.999928493725279 0.998743204015301 0.961979878174328 0.829567851707112 0.500041665391086

