 online-B HY-HNMT online-G jhu-nmt-lattice-rescore AaltoHnmtMultitask AaltoHnmtFlatcat online-A HY-SMT HY-AH jhu-pbmt TALP-UPC apertium-unconstrained
online-B 0.500039028396646 0.0709660625221581 1.0008318305993e-10 2.38971825263561e-11 1.25343735000292e-12 8.09440696669336e-19 9.99573573079187e-24 7.72526230427807e-23 1.95384447789073e-33 6.95348180594863e-32 3.98222942287915e-36 9.85820716588999e-158
HY-HNMT 0.929059220042529 0.500035422063866 2.37673411810209e-06 2.60720725078621e-07 8.41328555308053e-09 8.86850091304033e-14 6.68744024633834e-17 1.06851915302619e-16 5.44078965640144e-25 4.35580147159577e-24 1.70638097281499e-29 2.39169281842285e-157
online-G 0.999999999900042 0.999997625346362 0.500037760996605 0.172031282602141 0.0326275863002844 0.000131517318995384 7.29776000922239e-06 1.46619017521424e-06 1.52777504098169e-11 1.46138812437678e-11 3.9729532951426e-18 2.05380178220869e-153
jhu-nmt-lattice-rescore 0.999999999976132 0.999999739517937 0.82801503337087 0.500034785225994 0.123639539720466 0.00163918649081115 0.000597735494684377 0.000172684317459734 6.14119197705815e-08 3.07432469283472e-08 2.63481741417047e-14 8.18003959552172e-148
AaltoHnmtMultitask 0.999999999998748 0.999999991595805 0.967386427885951 0.876398125119495 0.500038919734911 0.0403260508263604 0.0288274724335743 0.0165466739861513 0.000124457915425837 9.25993533857307e-05 4.79379520401399e-09 5.28036244407258e-131
AaltoHnmtFlatcat 1 0.999999999999911 0.999868577746013 0.998361756591503 0.959690304695518 0.50003636615421 0.460341779209138 0.370054618409499 0.0394631694099762 0.0250077290001363 2.79044521936048e-05 3.83363314735655e-123
online-A 1 1 0.999992708711152 0.999402656849455 0.971185568188049 0.539734234156479 0.500040140061575 0.303832440858091 0.0174529243505571 0.0114692571716084 3.6293840159125e-07 4.54694241806071e-136
HY-SMT 1 1 0.999998535209503 0.999827439844616 0.983461521765289 0.6300179873564 0.696238222546733 0.500040483683195 0.0759755002215747 0.0463959804303918 4.79107284611834e-06 9.49067160799397e-133
HY-AH 1 1 0.99999999998474 0.999999938644288 0.999875628107502 0.960551421665214 0.982554822877321 0.924050294382479 0.50003210280938 0.379312060722988 0.000177992087501469 4.56862332546364e-145
jhu-pbmt 1 1 0.999999999985405 0.999999969287863 0.999907471200349 0.975003099698962 0.988536586298536 0.953623002895665 0.620754134426618 0.500037556268719 0.00100940309357209 1.32144202636269e-129
TALP-UPC 1 1 1 0.999999999999974 0.999999995211413 0.999972116677885 0.999999637410399 0.999995213093729 0.999822121564092 0.998991211209845 0.500034695557955 5.28983208789079e-115
apertium-unconstrained 1 1 1 1 1 1 1 1 1 1 1 0.500034028914407

