 tilde-nc-nmt-smt-hybrid online-B tilde-c-nmt-smt-hybrid limsi-factored-norm usfd-consensus-qt21 QT21-System-Combination usfd-consensus-kit KIT uedin-nmt tilde-nc-smt LIUM-FNMT LIUM-NMT HY-HNMT online-A jhu-pbmt C-3MA PJATK
tilde-nc-nmt-smt-hybrid 0.500079274165266 0.127377960248668 0.0906202247057036 0.0326942518451452 0.0183844372450264 0.00104483854451544 0.0012738676307958 0.000194536705034724 3.90696443764424e-05 6.16182406737421e-06 1.17909814474701e-07 3.96575608948719e-09 2.90003070586858e-11 2.34952261822362e-16 3.3172812552387e-17 1.24684839431406e-22 7.464907650297e-62
online-B 0.872705470916341 0.500080346641025 0.395796792377339 0.230780326407764 0.16872565540284 0.0248497101533333 0.0282294508169347 0.00651297578546938 0.00272596174813305 0.000685985402582752 2.89849133798623e-05 2.61612404748047e-06 3.22894377886291e-08 5.23857880303336e-12 5.48757328148982e-13 1.16942615938144e-17 1.63247656264261e-54
tilde-c-nmt-smt-hybrid 0.909449295831702 0.604368458682401 0.50009120695351 0.372251126647038 0.268991304747028 0.0556219523927143 0.0750005156115299 0.0222522135490146 0.0130128271826721 0.00542631280507746 0.000336223967344844 5.11874469360869e-05 9.87249856794029e-07 1.36110681473769e-09 5.72930724226754e-11 3.9238251026568e-15 4.30283559985271e-49
limsi-factored-norm 0.967332031369283 0.769329864847742 0.627894596950673 0.500065144910826 0.370578362612233 0.0986985149948683 0.105030043918402 0.0295286967049551 0.0173431953651874 0.00700242042620357 0.000352085112806014 3.80480168407585e-05 4.86523034755348e-07 1.80442987561976e-10 1.51396262186612e-11 2.91447205427081e-16 3.42676634610356e-54
usfd-consensus-qt21 0.981631875246291 0.83136610776887 0.731136591797314 0.629545730686715 0.500065917443863 0.155776984651784 0.170538327195937 0.059532202294179 0.0423902680790621 0.0211201191944949 0.00134644055664589 0.000219553390072831 2.69045375308807e-06 5.38012120703862e-09 1.95633457054742e-10 4.62704652872345e-15 8.61973558018807e-53
QT21-System-Combination 0.99895654139487 0.97517334057023 0.944425419528468 0.901363486159757 0.844308807962604 0.500077879646012 0.498230024600731 0.255556183397479 0.223577009029897 0.136116382221475 0.0213820933697799 0.00610055534945425 0.000192531366437491 9.69510625791747e-07 1.10345956694676e-07 2.2612438368589e-11 1.18213654247777e-44
usfd-consensus-kit 0.998728222202552 0.971802949766949 0.925075235794517 0.89505147855492 0.829576058460354 0.501966637819107 0.500125740601048 0.285764003661231 0.252365457207895 0.17063657468362 0.0279873759922786 0.00835135569220215 0.000330681423348603 1.83968217884487e-06 1.66827353538206e-07 9.37207223015361e-11 3.48249452558322e-42
KIT 0.999805798794746 0.993495390477318 0.97777365898823 0.970498860477396 0.940516687053861 0.744588631539266 0.714430833354848 0.500104192811026 0.476750696743002 0.391632551731032 0.109373116236683 0.0393669947862613 0.00246706595948127 5.86167837006586e-05 5.88504897086325e-06 4.08464335437965e-09 8.77861272384737e-39
uedin-nmt 0.999960996808158 0.997277478601196 0.987001805237045 0.982672612545051 0.95764323073155 0.776543644034475 0.747797635905414 0.523435084445191 0.500083330020546 0.400664858615352 0.0943973023365492 0.031511334323831 0.00129712224513715 1.18971378128603e-05 9.05551976064401e-07 3.14432426445007e-10 2.2793425824492e-44
tilde-nc-smt 0.99999384886202 0.99931492191828 0.994579995824539 0.993004271384568 0.978897393098904 0.863965602220491 0.829483436253421 0.608533704039407 0.599485220912343 0.500072083004167 0.13356764337356 0.0535637048482634 0.00153974846518173 1.60235117717102e-05 1.00817284445467e-06 1.61552611479852e-10 1.3056007287643e-47
LIUM-FNMT 0.999999882341737 0.999971064502341 0.999664301997526 0.999648378591944 0.998655166404168 0.978638171327263 0.972044717314525 0.890712398144578 0.905671528957825 0.866514360690056 0.500079986362393 0.309956007670656 0.038977767778982 0.00247474092673569 0.00030478734624582 4.46834929891552e-07 3.02485980893153e-38
LIUM-NMT 0.999999996043245 0.999997388669495 0.999948898923882 0.99996200719123 0.999780735085618 0.993905991015999 0.991659531200579 0.960670215027864 0.96851647051316 0.946476066679352 0.690179664506017 0.500073619358441 0.0929779295534193 0.00972212755413682 0.00105157657922446 2.19613916470413e-06 6.35479001310914e-38
HY-HNMT 0.999999999971076 0.999999967781461 0.999999014798014 0.999999514353489 0.999997314101522 0.999807752108372 0.999669910917161 0.99753636333983 0.998704590853116 0.998462115117782 0.961055386301801 0.907084785814973 0.500076860630902 0.235109778819823 0.0579961380965813 0.00116982685795531 4.2614075772118e-29
online-A 1 0.999999999994775 0.999999998642256 0.999999999819954 0.999999994630782 0.999999032287872 0.999998164507214 0.999941486535936 0.999988123320465 0.999984001759929 0.997528177735785 0.990287345121839 0.765004650887502 0.500071781946197 0.14668646052899 0.00301426259505306 2.11646163126472e-32
jhu-pbmt 1 0.999999999999453 0.999999999942864 0.999999999984897 0.99999999980481 0.999999889881798 0.999999833600913 0.999994126947639 0.999999096238954 0.999998993674259 0.999695650685697 0.998949743686587 0.942048250898806 0.853398493357339 0.500075863562889 0.0533579708512775 4.4799278906008e-25
C-3MA 1 1 0.999999999999996 1 0.999999999999995 0.999999999977442 0.999999999906556 0.99999999592539 0.999999999686309 0.999999999838808 0.999999553996871 0.999997807547182 0.998831564379565 0.996988916499927 0.946680653992289 0.500066441115612 1.91598751522142e-18
PJATK 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.500059036102772

