 online-B uedin-nmt online-H PROMT-Rule-based online-A online-G jhu-pbmt afrl-mitll-backtrans online-F
online-B 0.500005600159319 1.19290252311154e-16 5.68525396817353e-29 1.56452720872342e-42 1.46898879486134e-42 3.93789997791563e-44 1.47683500840938e-60 2.53712228145435e-93 2.79145358276695e-242
uedin-nmt 1 0.500005570364912 0.00374194041596927 1.13281702200839e-06 4.28398002167729e-07 1.06867947644066e-07 1.03151007601094e-14 6.92287910321646e-36 8.45833556691773e-142
online-H 1 0.996258371691149 0.500005587330167 0.0274100931610809 0.0136849066300221 0.00536443747037703 3.26444038601061e-07 5.3882931025408e-25 9.11451506137615e-123
PROMT-Rule-based 1 0.999998867339211 0.972591677533004 0.500005604389216 0.37030087692483 0.237063128914626 0.00057229890033565 1.06038469246429e-19 5.31234042212531e-118
online-A 1 0.999999571662224 0.986316057388696 0.629709543473937 0.500005405235481 0.355825924341586 0.00205804194586813 6.67745724808405e-18 6.40263155667121e-111
online-G 1 0.999999893148106 0.994635994038969 0.76294554008022 0.644184348345575 0.500005595855979 0.00706845947647342 1.42966634109363e-16 4.7753491350955e-106
jhu-pbmt 1 0.99999999999999 0.999999673601751 0.999427755900229 0.99794213197798 0.992932075019249 0.500005259640908 1.52673243959485e-09 1.59820086661584e-87
afrl-mitll-backtrans 1 1 1 1 1 1 0.999999998473519 0.500005553450512 3.64644772638795e-37
online-F 1 1 1 1 1 1 1 1 0.500005574603673

