 SogouKnowing-nmt uedin-nmt xmunmt online-B jhu-nmt CASICT-cons online-A Oregon-State-University-S UU-HNMT online-G online-F
SogouKnowing-nmt 0.500017590838699 0.227433915087921 0.210720494808567 0.000467132562590882 4.9839196136225e-05 1.49350886276164e-05 2.75739778476082e-06 3.2791290713065e-14 1.13899157359872e-31 1.34003813292128e-55 7.74753588050228e-63
uedin-nmt 0.77259354863733 0.50001874351338 0.481452865330091 0.00526006370311278 0.000953049837788742 0.000298671177652146 7.18528460602828e-05 6.85248772420873e-12 6.43934002209916e-28 1.68690636943762e-50 2.3120433997549e-57
xmunmt 0.789303522414657 0.518581329742499 0.500015658061118 0.00560613003970393 0.00090546824621904 0.000332464805221583 7.74060630417501e-05 6.94562206117002e-12 2.23544396568309e-28 1.70650659750292e-51 9.95902644914347e-59
online-B 0.999533011402029 0.994741283123954 0.994395172915772 0.50001684165947 0.305793509540171 0.188907815659462 0.0942749782533955 1.04836046252455e-05 4.29673193720414e-18 1.57525925652988e-36 5.58679159721475e-43
jhu-nmt 0.999950178194816 0.999047231566842 0.999094777271374 0.694235545146656 0.500016219318887 0.357240008128666 0.192594324771517 5.47066021645774e-05 3.36687243631464e-17 1.07873359192744e-35 2.10439496579545e-42
CASICT-cons 0.999985070816 0.999701431177248 0.999667638487964 0.811116000167348 0.642792235076907 0.500018335324708 0.335355005463188 0.000355456928925982 5.46890756992224e-15 9.12830501306097e-32 4.19527916286037e-38
online-A 0.999997243747824 0.999928173357098 0.999922619622689 0.90573941705897 0.807428673378774 0.664677565842811 0.500017335007449 0.0019758902430044 4.81421016288715e-13 3.59864866103277e-28 4.44681744497405e-34
Oregon-State-University-S 0.999999999999967 0.999999999993152 0.999999999993058 0.999989520303522 0.999945311763655 0.999644655767812 0.998024640486754 0.500016448149106 3.86263648974631e-06 1.09251189445026e-16 9.23675741213145e-22
UU-HNMT 1 1 1 1 1 0.999999999999995 0.999999999999519 0.999996138938456 0.500018397151567 0.000427009840091374 8.11244581519109e-07
online-G 1 1 1 1 1 1 1 1 0.999573123468423 0.500016320410577 0.0483536414146363
online-F 1 1 1 1 1 1 1 1 0.999999189114431 0.95165475023114 0.500017030893259

