 online-B tilde-nc-nmt-smt-hybrid uedin-nmt tilde-c-nmt-smt-hybrid online-A jhu-pbmt C-3MA Hunter-MT PJATK
online-B 0.500005955187401 0.115692890260955 2.79858040693471e-14 2.18133771637926e-15 2.43886039709416e-36 1.28199835795573e-56 1.63400898931415e-70 2.05562388794646e-72 4.27314518742114e-136
tilde-nc-nmt-smt-hybrid 0.884312897160108 0.500005889563174 4.41857430880994e-11 6.37909441262267e-12 2.76048168449041e-31 7.74670114909416e-51 2.42918214705446e-64 4.86956011488621e-66 1.38034288994959e-129
uedin-nmt 0.999999999999972 0.999999999955823 0.500005974161191 0.434247823689674 2.2954769505142e-07 4.24080273473016e-18 3.81561753402258e-26 8.39706914717992e-28 1.5789499517325e-76
tilde-c-nmt-smt-hybrid 0.999999999999998 0.999999999993622 0.565763896652251 0.500005908189107 2.75548833638975e-07 4.30845886297389e-18 2.55028710285053e-26 5.68316035510025e-28 3.51242750258775e-77
online-A 1 1 0.999999770488115 0.999999724493637 0.500005931609606 0.000105674611914326 9.70438176398554e-09 8.1183266101645e-10 3.37104784929089e-45
jhu-pbmt 1 1 1 1 0.999894337775166 0.500005922223086 0.0330315010252114 0.00982645282570721 9.47441467010411e-26
C-3MA 1 1 1 1 0.999999990297291 0.966970692459604 0.500005955187152 0.305825100416759 1.17694897330999e-18
Hunter-MT 1 1 1 1 0.999999999188317 0.990174328290661 0.694185365410962 0.500005950458849 1.56210627646249e-16
PJATK 1 1 1 1 1 1 1 1 0.500005983685038

