 online-B online-G NRC online-A afrl-mitll-syscomb afrl-mitll-opennmt uedin-nmt jhu-pbmt online-F
online-B 0.500004980287081 1.07577080418495e-09 1.3386759789908e-15 3.41159637192718e-16 4.0438595215959e-20 1.57502809839654e-23 6.97182036033641e-24 3.71184726767362e-32 1.89833774515856e-111
online-G 0.999999998924395 0.500005044171475 0.0307232238591763 0.0104831413377904 0.000613333351177385 2.3274391735389e-05 1.48536549991879e-05 6.48729660812785e-09 4.86960075187443e-61
NRC 0.999999999999999 0.969278504619577 0.500004893758416 0.319351069602199 0.0783725423663506 0.0122770886756749 0.00939061973247689 5.76508083041915e-05 7.04425388253112e-49
online-A 1 0.98951756850336 0.680657925553325 0.500005153737058 0.175323849400345 0.0430281983314444 0.0330134605138551 0.000653114963812406 1.59779915160998e-42
afrl-mitll-syscomb 1 0.999386719652637 0.92163101757727 0.824682591228143 0.500004809708011 0.209380302701132 0.181522231177368 0.00988869578228534 3.44696577276992e-38
afrl-mitll-opennmt 1 0.999976728119674 0.987723699768099 0.956974123549995 0.790626756058478 0.500004980282709 0.453831538391394 0.0702218332211806 1.96372989534954e-33
uedin-nmt 1 0.999985147991034 0.990610007038938 0.96698841715707 0.818484266001308 0.546178393911672 0.500005019163994 0.0842757468894244 8.92127227824907e-33
jhu-pbmt 1 0.999999993513672 0.999942355112454 0.999346943685188 0.99011196146216 0.929781577763436 0.915728186721021 0.500005131509407 1.06751792445198e-27
online-F 1 1 1 1 1 1 1 1 0.500004921167395

