 online-B online-A uedin-nmt online-G afrl-mitll-m2w-nr1 afrl-mitll-syscomb LIUM-NMT PROMT-SMT jhu-pbmt JAIST
online-B 0.500006386512507 0.263075972033423 1.53057127612376e-17 1.38734868685581e-37 3.51514338165628e-40 7.74659988722455e-43 7.34730452631964e-44 3.00846937005185e-72 8.38560530678282e-138 3.76995615202663e-151
online-A 0.736934355756886 0.500006240511489 9.9038229212351e-16 7.43858413723415e-35 1.16403633341118e-37 2.50986490041318e-40 1.41911773507569e-41 2.06403630653944e-69 5.70573979730037e-136 4.41312083403422e-150
uedin-nmt 1 0.999999999999999 0.500006582765807 0.000147913194373712 5.24737963373549e-06 4.337950663168e-07 7.4410982369195e-08 1.01502083439001e-19 3.56576079997286e-63 1.21884822984819e-73
online-G 1 1 0.99985210509083 0.500006189709043 0.17647290509728 0.0690661353666886 0.0229935235821762 1.16953518446429e-09 8.86777095445688e-49 1.46588715977814e-59
afrl-mitll-m2w-nr1 1 1 0.999994753389768 0.823535080980084 0.500006104915342 0.286305641736106 0.154464876325723 6.85686745648605e-07 7.39685765611689e-40 3.33871087024239e-49
afrl-mitll-syscomb 1 1 0.999999566277477 0.930938082758383 0.713705083758192 0.50000647795449 0.335655995245949 1.22601999493555e-05 4.59427478537746e-36 6.55043011054989e-45
LIUM-NMT 1 1 0.999999925602178 0.977008196294059 0.845542577673307 0.664355780761631 0.50000640783332 0.000127637714835253 5.49760749162052e-33 3.01963279838273e-41
PROMT-SMT 1 1 1 0.999999998830692 0.999999314421469 0.999987741560567 0.999872378313857 0.500006440037262 1.8034134920563e-19 1.5921378694657e-26
jhu-pbmt 1 1 1 1 1 1 1 1 0.500006220107934 0.0517730764375946
JAIST 1 1 1 1 1 1 1 1 0.948230278074781 0.500006402490164

