 SogouKnowing-nmt uedin-nmt xmunmt online-B online-A NRC jhu-nmt afrl-mitll-opennmt CASICT-cons ROCMT Oregon-State-University-S PROMT-SMT NMT-Model-Average-Multi-Cards UU-HNMT online-F online-G
SogouKnowing-nmt 0.500006988290908 0.625467264515607 0.243783951417094 0.000216062229870623 0.000101691955236037 1.263079470381e-05 1.11777710869558e-11 4.32577387624065e-17 6.67802052792076e-14 2.81336500905252e-19 2.37508136077962e-27 2.41940557041817e-49 7.32881233357499e-52 1.5853195934665e-61 4.21164213375981e-72 2.39632246912553e-72
uedin-nmt 0.374545979992264 0.500006951410563 0.157825146039211 7.28476662890201e-05 2.91304400246366e-05 3.42485444598514e-06 1.43547109355915e-12 4.84133034987808e-18 1.03058662367486e-14 2.84754592377119e-20 1.34323436829258e-28 1.43216486968989e-50 4.54247439539783e-53 5.74498650094542e-63 1.06665220168345e-73 1.08949046118755e-73
xmunmt 0.756227022733728 0.842183272136765 0.500006975953075 0.00216117341350579 0.00127523716343334 0.00019286838848572 8.86845864216073e-10 6.76986778377576e-15 8.63743568726335e-12 7.18333702143588e-17 1.66107769873147e-24 1.21580618603769e-45 5.16553713321521e-48 1.52861890740202e-57 7.77784670639956e-68 5.6516601168981e-68
online-B 0.999783966191931 0.999927162559769 0.997839063725749 0.50000693305935 0.464007506607075 0.249753099589928 0.00102855205004194 1.09857253657517e-06 3.72472809312027e-05 3.20471348206239e-08 2.50544701244222e-13 1.0951303830889e-29 4.29134323932957e-32 1.64327172264506e-39 6.43914434985684e-47 1.3897475478625e-47
online-A 0.999898321893886 0.999970873806837 0.998724907602783 0.536006123399913 0.500006754137614 0.277140503145189 0.00110186075167971 9.02638708347355e-07 4.86172499585523e-05 3.22916186417684e-08 1.41593156958199e-13 2.81324245615956e-30 1.37809075355187e-32 1.92880719080145e-40 2.07083037384143e-48 4.43117749390196e-49
NRC 0.99998737115963 0.999996575706791 0.999807157184086 0.750257954087066 0.722871002179063 0.500006951381673 0.00768064381497151 2.08219771621175e-05 0.000552376942122953 1.09118288271567e-06 2.44555077548614e-11 1.65408536659278e-26 1.10153168945505e-28 1.05034880060171e-35 4.68916755633234e-43 9.33230035051249e-44
jhu-nmt 0.999999999988825 0.999999999998565 0.999999999113343 0.9989715666291 0.998898264021642 0.99232008353724 0.500006771681949 0.0409588124379151 0.167759047654047 0.00724112727974663 9.09537984705856e-06 2.12371077263419e-17 2.23743034574551e-19 2.79198830395784e-25 5.70738162407687e-31 8.05851645135395e-32
afrl-mitll-opennmt 1 1 0.999999999999993 0.999998901614704 0.999999097514317 0.999979181136239 0.95904418921237 0.500006860559051 0.757373575721241 0.225951141194562 0.00497896782476517 1.30306669448121e-11 1.93086693384207e-13 2.67209456414431e-18 1.25636842137985e-22 2.26414067833634e-23
CASICT-cons 0.999999999999933 0.99999999999999 0.999999999991365 0.999962758184916 0.999951389688907 0.999447691419133 0.832249639320336 0.242637322726213 0.500007044225042 0.0810315911102202 0.000755416997489066 5.52843804777667e-13 8.76253442610126e-15 1.38750950098479e-19 4.29124455300811e-24 5.6353294965353e-25
ROCMT 1 1 1 0.999999967959109 0.999999967714589 0.999998909005203 0.992759565403113 0.774059298748285 0.918973691127684 0.50000699446069 0.0379898749430626 3.46758662573626e-09 7.87593882293677e-11 5.9286048361063e-15 1.14531116930611e-18 1.87516376529033e-19
Oregon-State-University-S 1 1 1 0.99999999999975 0.999999999999858 0.99999999997555 0.999990906026251 0.995021530441656 0.999244674184387 0.962013010937224 0.500006939148858 2.30346686339686e-05 1.10521118378114e-06 7.81019886801325e-10 1.06008635525726e-12 1.70700797352248e-13
PROMT-SMT 1 1 1 1 1 1 1 0.999999999986972 0.999999999999447 0.999999996533133 0.999976968768279 0.500006914814792 0.2142759448853 0.0200173740257307 0.00257868358825233 0.000890793610900556
NMT-Model-Average-Multi-Cards 1 1 1 1 1 1 1 0.999999999999807 0.999999999999991 0.999999999921259 0.999998894977143 0.785734119969337 0.500006854569414 0.117339169442873 0.02835311839449 0.0117145205012504
UU-HNMT 1 1 1 1 1 1 1 1 1 0.999999999999994 0.999999999219148 0.979984304864737 0.882667623179697 0.500006908750296 0.268850643405395 0.150571191066596
online-F 1 1 1 1 1 1 1 1 1 1 0.99999999999894 0.997421591869491 0.971649112568186 0.731160739094667 0.500006854555524 0.351177080113304
online-G 1 1 1 1 1 1 1 1 1 1 0.999999999999829 0.999109310250565 0.988286524199923 0.849436823995376 0.648835586252931 0.500006771676617

