 RWTH.5636 UCAM.5690 NTT.5666 online-B.0 MLLP-UPV.5554 JHU.5706 Ubiqus-NMT.5635 online-Y.0 online-A.0 uedin.5766 LMU-nmt.5756 NJUNMT-private.5406 online-G.0 online-F.0 RWTH-UNSUPER.5482 LMU-unsup.5650
RWTH.5636 - 0.02 0.05* 0.07*** 0.09*** 0.1*** 0.1*** 0.1*** 0.15*** 0.15*** 0.25*** 0.26*** 0.49*** 0.71*** 1.17*** 1.25***  
UCAM.5690 -0.02 - 0.04 0.05* 0.07*** 0.08** 0.08*** 0.08*** 0.13*** 0.13*** 0.23*** 0.25*** 0.47*** 0.69*** 1.15*** 1.23***  
NTT.5666 -0.05 -0.04 - 0.01 0.04* 0.04* 0.04** 0.05** 0.09*** 0.1*** 0.2*** 0.21*** 0.43*** 0.66*** 1.11*** 1.19***  
online-B.0 -0.07 -0.05 -0.01 - 0.03 0.03 0.03* 0.04 0.08*** 0.09*** 0.18*** 0.2*** 0.42*** 0.64*** 1.1*** 1.18***  
MLLP-UPV.5554 -0.09 -0.07 -0.04 -0.03 - 0 0.01 0.01 0.05** 0.06* 0.16*** 0.17*** 0.4*** 0.62*** 1.07*** 1.16***  
JHU.5706 -0.1 -0.08 -0.04 -0.03 0 - 0 0.01 0.05** 0.06** 0.15*** 0.17*** 0.39*** 0.61*** 1.07*** 1.15***  
Ubiqus-NMT.5635 -0.1 -0.08 -0.04 -0.03 -0.01 0 - 0.01 0.05* 0.05 0.15*** 0.17*** 0.39*** 0.61*** 1.07*** 1.15***  
online-Y.0 -0.1 -0.08 -0.05 -0.04 -0.01 -0.01 -0.01 - 0.04* 0.05* 0.15*** 0.16*** 0.38*** 0.61*** 1.06*** 1.15***  
online-A.0 -0.15 -0.13 -0.09 -0.08 -0.05 -0.05 -0.05 -0.04 - 0.01 0.11*** 0.12*** 0.34*** 0.56*** 1.02*** 1.1***  
uedin.5766 -0.15 -0.13 -0.1 -0.09 -0.06 -0.06 -0.05 -0.05 -0.01 - 0.1*** 0.11*** 0.34*** 0.56*** 1.01*** 1.1***  
LMU-nmt.5756 -0.25 -0.23 -0.2 -0.18 -0.16 -0.15 -0.15 -0.15 -0.11 -0.1 - 0.01 0.24*** 0.46*** 0.91*** 1***  
NJUNMT-private.5406 -0.26 -0.25 -0.21 -0.2 -0.17 -0.17 -0.17 -0.16 -0.12 -0.11 -0.01 - 0.22*** 0.45*** 0.9*** 0.98***  
online-G.0 -0.49 -0.47 -0.43 -0.42 -0.4 -0.39 -0.39 -0.38 -0.34 -0.34 -0.24 -0.22 - 0.22*** 0.68*** 0.76***  
online-F.0 -0.71 -0.69 -0.66 -0.64 -0.62 -0.61 -0.61 -0.61 -0.56 -0.56 -0.46 -0.45 -0.22 - 0.46*** 0.54***  
RWTH-UNSUPER.5482 -1.17 -1.15 -1.11 -1.1 -1.07 -1.07 -1.07 -1.06 -1.02 -1.01 -0.91 -0.9 -0.68 -0.46 - 0.08***  
LMU-unsup.5650 -1.25 -1.23 -1.19 -1.18 -1.16 -1.15 -1.15 -1.15 -1.1 -1.1 -1 -0.98 -0.76 -0.54 -0.08 -  
