 online-Z.0 online-B.0 Microsoft-Marian.5691 MMT-production-system.5594 UCAM.5585 NTT.5667 KIT.5486 online-Y.0 JHU.5703 uedin.5770 LMU-nmt.5741 online-A.0 online-F.0 online-G.0 RWTH-UNSUPER.5484 LMU-unsup.5651
online-Z.0 - 0.09** 0.1*** 0.11*** 0.12*** 0.16*** 0.2*** 0.26*** 0.28*** 0.3*** 0.44*** 0.59*** 1.04*** 1.07*** 1.62*** 1.77***  
online-B.0 -0.09 - 0.01 0.02 0.02 0.07** 0.11*** 0.16*** 0.18*** 0.21*** 0.35*** 0.5*** 0.95*** 0.98*** 1.53*** 1.68***  
Microsoft-Marian.5691 -0.1 -0.01 - 0.01 0.01 0.06* 0.1** 0.16*** 0.17*** 0.2*** 0.34*** 0.49*** 0.94*** 0.97*** 1.52*** 1.67***  
MMT-production-system.5594 -0.11 -0.02 -0.01 - 0 0.05 0.09* 0.14*** 0.16*** 0.19*** 0.33*** 0.48*** 0.92*** 0.95*** 1.51*** 1.66***  
UCAM.5585 -0.12 -0.02 -0.01 0 - 0.05 0.08* 0.14*** 0.16*** 0.19*** 0.32*** 0.48*** 0.92*** 0.95*** 1.5*** 1.66***  
NTT.5667 -0.16 -0.07 -0.06 -0.05 -0.05 - 0.04 0.1*** 0.11** 0.14*** 0.28*** 0.43*** 0.88*** 0.91*** 1.46*** 1.61***  
KIT.5486 -0.2 -0.11 -0.1 -0.09 -0.08 -0.04 - 0.06** 0.08* 0.1** 0.24*** 0.39*** 0.84*** 0.87*** 1.42*** 1.58***  
online-Y.0 -0.26 -0.16 -0.16 -0.14 -0.14 -0.1 -0.06 - 0.02 0.04 0.18*** 0.34*** 0.78*** 0.81*** 1.36*** 1.52***  
JHU.5703 -0.28 -0.18 -0.17 -0.16 -0.16 -0.11 -0.08 -0.02 - 0.03 0.16*** 0.32*** 0.76*** 0.79*** 1.34*** 1.5***  
uedin.5770 -0.3 -0.21 -0.2 -0.19 -0.19 -0.14 -0.1 -0.04 -0.03 - 0.14*** 0.29*** 0.74*** 0.77*** 1.32*** 1.47***  
LMU-nmt.5741 -0.44 -0.35 -0.34 -0.33 -0.32 -0.28 -0.24 -0.18 -0.16 -0.14 - 0.15*** 0.6*** 0.63*** 1.18*** 1.33***  
online-A.0 -0.59 -0.5 -0.49 -0.48 -0.48 -0.43 -0.39 -0.34 -0.32 -0.29 -0.15 - 0.44*** 0.48*** 1.03*** 1.18***  
online-F.0 -1.04 -0.95 -0.94 -0.92 -0.92 -0.88 -0.84 -0.78 -0.76 -0.74 -0.6 -0.44 - 0.03 0.58*** 0.74***  
online-G.0 -1.07 -0.98 -0.97 -0.95 -0.95 -0.91 -0.87 -0.81 -0.79 -0.77 -0.63 -0.48 -0.03 - 0.55*** 0.71***  
RWTH-UNSUPER.5484 -1.62 -1.53 -1.52 -1.51 -1.5 -1.46 -1.42 -1.36 -1.34 -1.32 -1.18 -1.03 -0.58 -0.55 - 0.16***  
LMU-unsup.5651 -1.77 -1.68 -1.67 -1.66 -1.66 -1.61 -1.58 -1.52 -1.5 -1.47 -1.33 -1.18 -0.74 -0.71 -0.16 -  
