 tilde-nc-nmt.5449 NICT.5500 tilde-c-nmt.5565 M4t1ss.5723 Aalto.5551 HY-NMT-en-et.5469 uedin.5563 CUNI-Kocmi.5616 talp-upc.5422 online-B.0 neurotolge.ee.5399 online-A.0 online-G.0 parfda.5779
tilde-nc-nmt.5449 - 0.1* 0.12** 0.13*** 0.21*** 0.22*** 0.25*** 0.33*** 0.37*** 0.45*** 0.68*** 0.74*** 0.95*** 1.07***  
NICT.5500 -0.1 - 0.03 0.03 0.11** 0.12** 0.16*** 0.24*** 0.27*** 0.36*** 0.58*** 0.65*** 0.86*** 0.97***  
tilde-c-nmt.5565 -0.12 -0.03 - 0.01 0.09* 0.1* 0.13** 0.21*** 0.25*** 0.33*** 0.56*** 0.62*** 0.83*** 0.95***  
M4t1ss.5723 -0.13 -0.03 -0.01 - 0.08* 0.09* 0.12** 0.2*** 0.24*** 0.32*** 0.55*** 0.61*** 0.82*** 0.94***  
Aalto.5551 -0.21 -0.11 -0.09 -0.08 - 0.01 0.05 0.12** 0.16*** 0.24*** 0.47*** 0.54*** 0.75*** 0.86***  
HY-NMT-en-et.5469 -0.22 -0.12 -0.1 -0.09 -0.01 - 0.03 0.11** 0.15*** 0.23*** 0.46*** 0.52*** 0.73*** 0.85***  
uedin.5563 -0.25 -0.16 -0.13 -0.12 -0.05 -0.03 - 0.08* 0.11** 0.2*** 0.43*** 0.49*** 0.7*** 0.81***  
CUNI-Kocmi.5616 -0.33 -0.24 -0.21 -0.2 -0.12 -0.11 -0.08 - 0.04 0.12** 0.35*** 0.41*** 0.62*** 0.74***  
talp-upc.5422 -0.37 -0.27 -0.25 -0.24 -0.16 -0.15 -0.11 -0.04 - 0.08* 0.31*** 0.38*** 0.59*** 0.7***  
online-B.0 -0.45 -0.36 -0.33 -0.32 -0.24 -0.23 -0.2 -0.12 -0.08 - 0.23*** 0.29*** 0.5*** 0.62***  
neurotolge.ee.5399 -0.68 -0.58 -0.56 -0.55 -0.47 -0.46 -0.43 -0.35 -0.31 -0.23 - 0.06* 0.27*** 0.39***  
online-A.0 -0.74 -0.65 -0.62 -0.61 -0.54 -0.52 -0.49 -0.41 -0.38 -0.29 -0.06 - 0.21*** 0.32***  
online-G.0 -0.95 -0.86 -0.83 -0.82 -0.75 -0.73 -0.7 -0.62 -0.59 -0.5 -0.27 -0.21 - 0.11***  
parfda.5779 -1.07 -0.97 -0.95 -0.94 -0.86 -0.85 -0.81 -0.74 -0.7 -0.62 -0.39 -0.32 -0.11 -  
