 NICT.5658 HY-NMT-en-fi.5570 uedin.5707 Aalto.5550 HY-NMTtwostep-en-fi.5639 talp-upc.5424 CUNI-Kocmi.5620 online-B.0 online-A.0 online-G.0 HY-SMT-en-fi.5436 HY-AH-en-fi.5567
NICT.5658 - 0.05 0.2*** 0.25*** 0.26*** 0.28*** 0.34*** 0.34*** 0.73*** 0.75*** 0.86*** 0.89***  
HY-NMT-en-fi.5570 -0.05 - 0.14** 0.19*** 0.21*** 0.23*** 0.28*** 0.28*** 0.68*** 0.7*** 0.8*** 0.83***  
uedin.5707 -0.2 -0.14 - 0.05 0.07 0.09* 0.14** 0.14*** 0.54*** 0.56*** 0.66*** 0.69***  
Aalto.5550 -0.25 -0.19 -0.05 - 0.01 0.03 0.09* 0.09* 0.48*** 0.5*** 0.61*** 0.64***  
HY-NMTtwostep-en-fi.5639 -0.26 -0.21 -0.07 -0.01 - 0.02 0.07 0.07* 0.47*** 0.49*** 0.59*** 0.63***  
talp-upc.5424 -0.28 -0.23 -0.09 -0.03 -0.02 - 0.05 0.05 0.45*** 0.47*** 0.57*** 0.61***  
CUNI-Kocmi.5620 -0.34 -0.28 -0.14 -0.09 -0.07 -0.05 - 0 0.4*** 0.42*** 0.52*** 0.55***  
online-B.0 -0.34 -0.28 -0.14 -0.09 -0.07 -0.05 0 - 0.39*** 0.42*** 0.52*** 0.55***  
online-A.0 -0.73 -0.68 -0.54 -0.48 -0.47 -0.45 -0.4 -0.39 - 0.02 0.12** 0.16***  
online-G.0 -0.75 -0.7 -0.56 -0.5 -0.49 -0.47 -0.42 -0.42 -0.02 - 0.1** 0.14***  
HY-SMT-en-fi.5436 -0.86 -0.8 -0.66 -0.61 -0.59 -0.57 -0.52 -0.52 -0.12 -0.1 - 0.03  
HY-AH-en-fi.5567 -0.89 -0.83 -0.69 -0.64 -0.63 -0.61 -0.55 -0.55 -0.16 -0.14 -0.03 -  
