 Tencent-ensemble-system.5760 Unisound.5669 GTCOM-Primary.5762 Alibaba-ensemble-system-with-reranking.5738 Alibaba-General-System.5749 online-B.0 Alibaba-General-System.5743 UMD.5680 NICT.5538 online-Y.0 online-A.0 uedin.5735 online-F.0 online-G.0
Tencent-ensemble-system.5760 - 0.01 0.02 0.03 0.05 0.05* 0.05 0.13*** 0.14*** 0.15*** 0.18*** 0.42*** 0.64*** 0.65***  
Unisound.5669 -0.01 - 0.01 0.02 0.03 0.04 0.04 0.11*** 0.12*** 0.14*** 0.17*** 0.41*** 0.62*** 0.64***  
GTCOM-Primary.5762 -0.02 -0.01 - 0.01 0.03 0.03* 0.03 0.11*** 0.12*** 0.13*** 0.16*** 0.4*** 0.62*** 0.63***  
Alibaba-ensemble-system-with-reranking.5738 -0.03 -0.02 -0.01 - 0.01 0.02 0.02 0.09*** 0.1*** 0.12*** 0.15*** 0.39*** 0.6*** 0.62***  
Alibaba-General-System.5749 -0.05 -0.03 -0.03 -0.01 - 0.01 0.01 0.08*** 0.09** 0.1*** 0.14*** 0.38*** 0.59*** 0.61***  
online-B.0 -0.05 -0.04 -0.03 -0.02 -0.01 - 0 0.07** 0.08* 0.1*** 0.13*** 0.37*** 0.58*** 0.6***  
Alibaba-General-System.5743 -0.05 -0.04 -0.03 -0.02 -0.01 0 - 0.07** 0.08** 0.1*** 0.13*** 0.37*** 0.58*** 0.6***  
UMD.5680 -0.13 -0.11 -0.11 -0.09 -0.08 -0.07 -0.07 - 0.01 0.03 0.06** 0.3*** 0.51*** 0.53***  
NICT.5538 -0.14 -0.12 -0.12 -0.1 -0.09 -0.08 -0.08 -0.01 - 0.01 0.04** 0.28*** 0.5*** 0.52***  
online-Y.0 -0.15 -0.14 -0.13 -0.12 -0.1 -0.1 -0.1 -0.03 -0.01 - 0.03 0.27*** 0.49*** 0.5***  
online-A.0 -0.18 -0.17 -0.16 -0.15 -0.14 -0.13 -0.13 -0.06 -0.04 -0.03 - 0.24*** 0.46*** 0.47***  
uedin.5735 -0.42 -0.41 -0.4 -0.39 -0.38 -0.37 -0.37 -0.3 -0.28 -0.27 -0.24 - 0.22*** 0.23***  
online-F.0 -0.64 -0.62 -0.62 -0.6 -0.59 -0.58 -0.58 -0.51 -0.5 -0.49 -0.46 -0.22 - 0.02  
online-G.0 -0.65 -0.64 -0.63 -0.62 -0.61 -0.6 -0.6 -0.53 -0.52 -0.5 -0.47 -0.23 -0.02 -  
