 tilde-nc-nmt.5485 NICT.5664 tilde-c-nmt.5715 M4t1ss.5692 uedin.5562 tilde-c-nmt-comb.5718 online-B.0 HY-NMT-et-en.5463 talp-upc.5421 online-A.0 CUNI-Kocmi.5618 neurotolge.ee.5398 online-G.0 UnsupTartu.5722
tilde-nc-nmt.5485 - 0.09*** 0.11*** 0.14*** 0.14*** 0.16*** 0.21*** 0.22*** 0.22*** 0.26*** 0.32*** 0.44*** 0.67*** 1.28***  
NICT.5664 -0.09 - 0.02 0.05* 0.05 0.07** 0.12*** 0.13*** 0.13*** 0.18*** 0.23*** 0.36*** 0.58*** 1.19***  
tilde-c-nmt.5715 -0.11 -0.02 - 0.03 0.03 0.04 0.1*** 0.11** 0.11*** 0.15*** 0.21*** 0.33*** 0.56*** 1.17***  
M4t1ss.5692 -0.14 -0.05 -0.03 - 0 0.02 0.07** 0.08** 0.08** 0.12*** 0.18*** 0.3*** 0.53*** 1.14***  
uedin.5562 -0.14 -0.05 -0.03 0 - 0.02 0.07** 0.08** 0.08** 0.12*** 0.18*** 0.3*** 0.53*** 1.14***  
tilde-c-nmt-comb.5718 -0.16 -0.07 -0.04 -0.02 -0.02 - 0.05* 0.06 0.06* 0.11*** 0.16*** 0.29*** 0.51*** 1.12***  
online-B.0 -0.21 -0.12 -0.1 -0.07 -0.07 -0.05 - 0.01 0.01 0.05* 0.11** 0.23*** 0.46*** 1.07***  
HY-NMT-et-en.5463 -0.22 -0.13 -0.11 -0.08 -0.08 -0.06 -0.01 - 0 0.04* 0.1** 0.22*** 0.45*** 1.06***  
talp-upc.5421 -0.22 -0.13 -0.11 -0.08 -0.08 -0.06 -0.01 0 - 0.04* 0.1** 0.22*** 0.45*** 1.06***  
online-A.0 -0.26 -0.18 -0.15 -0.12 -0.12 -0.11 -0.05 -0.04 -0.04 - 0.06 0.18*** 0.4*** 1.01***  
CUNI-Kocmi.5618 -0.32 -0.23 -0.21 -0.18 -0.18 -0.16 -0.11 -0.1 -0.1 -0.06 - 0.12*** 0.35*** 0.96***  
neurotolge.ee.5398 -0.44 -0.36 -0.33 -0.3 -0.3 -0.29 -0.23 -0.22 -0.22 -0.18 -0.12 - 0.22*** 0.83***  
online-G.0 -0.67 -0.58 -0.56 -0.53 -0.53 -0.51 -0.46 -0.45 -0.45 -0.4 -0.35 -0.22 - 0.61***  
UnsupTartu.5722 -1.28 -1.19 -1.17 -1.14 -1.14 -1.12 -1.07 -1.06 -1.06 -1.01 -0.96 -0.83 -0.61 -  
