 NiuTrans.5740 online-B.0 UCAM.5586 Unisound.5712 Tencent-ensemble-system.5742 Unisound.5668 Li-Muze.5736 NICT.5539 UMD.5681 online-Y.0 uedin.5652 online-A.0 online-G.0 online-F.0
NiuTrans.5740 - 0.03 0.03 0.03 0.04* 0.05* 0.05* 0.05* 0.06** 0.15*** 0.16*** 0.2*** 0.47*** 0.52***  
online-B.0 -0.03 - 0 0 0.01 0.02 0.02 0.02 0.03 0.12*** 0.13*** 0.17*** 0.44*** 0.49***  
UCAM.5586 -0.03 0 - 0 0.01 0.02 0.02 0.02 0.03 0.11*** 0.13*** 0.17*** 0.44*** 0.49***  
Unisound.5712 -0.03 0 0 - 0.01 0.01 0.02 0.02 0.03 0.11*** 0.12*** 0.17*** 0.43*** 0.48***  
Tencent-ensemble-system.5742 -0.04 -0.01 -0.01 -0.01 - 0.01 0.01 0.01 0.02 0.1*** 0.12*** 0.16*** 0.43*** 0.48***  
Unisound.5668 -0.05 -0.02 -0.02 -0.01 -0.01 - 0 0.01 0.02 0.1*** 0.11*** 0.16*** 0.42*** 0.47***  
Li-Muze.5736 -0.05 -0.02 -0.02 -0.02 -0.01 0 - 0 0.01 0.1*** 0.11*** 0.15*** 0.42*** 0.47***  
NICT.5539 -0.05 -0.02 -0.02 -0.02 -0.01 -0.01 0 - 0.01 0.09*** 0.11*** 0.15*** 0.42*** 0.47***  
UMD.5681 -0.06 -0.03 -0.03 -0.03 -0.02 -0.02 -0.01 -0.01 - 0.08** 0.1*** 0.14*** 0.4*** 0.45***  
online-Y.0 -0.15 -0.12 -0.11 -0.11 -0.1 -0.1 -0.1 -0.09 -0.08 - 0.01 0.06* 0.32*** 0.37***  
uedin.5652 -0.16 -0.13 -0.13 -0.12 -0.12 -0.11 -0.11 -0.11 -0.1 -0.01 - 0.04* 0.31*** 0.36***  
online-A.0 -0.2 -0.17 -0.17 -0.17 -0.16 -0.16 -0.15 -0.15 -0.14 -0.06 -0.04 - 0.27*** 0.32***  
online-G.0 -0.47 -0.44 -0.44 -0.43 -0.43 -0.42 -0.42 -0.42 -0.4 -0.32 -0.31 -0.27 - 0.05*  
online-F.0 -0.52 -0.49 -0.49 -0.48 -0.48 -0.47 -0.47 -0.47 -0.45 -0.37 -0.36 -0.32 -0.05 -  
