SYS SID RAW.SCR Z.SCR N 
uedin.5770 2710 99 0.706857265714831 1 
uedin.5770 2121 84 -0.0835874173853562 1 
uedin.5770 540 99 0.706857265714831 1 
uedin.5770 1897 57 -1.50638784696569 1 
uedin.5770 1564 94 1.05707678225646 2 
uedin.5770 1535 68.6666666666667 0.341472093204083 3 
uedin.5770 264 100 1.18887273853127 2 
uedin.5770 2154 88 0.833505343430546 2 
uedin.5770 2677 59.5 -0.438336011752545 2 
uedin.5770 923 84.3333333333333 0.574973622144585 3 
uedin.5770 1911 86.5 0.576674683363538 2 
uedin.5770 2048 82.5 0.283520566033324 2 
uedin.5770 675 100 1.29939026327509 1 
uedin.5770 1856 30.5 -0.57187629070274 2 
uedin.5770 1423 100 0.91617446736381 1 
uedin.5770 1461 100 0.91617446736381 1 
uedin.5770 1738 82 0.418099583484558 1 
uedin.5770 2661 23 -2.70375389848468 1 
uedin.5770 21 89 0.460254149135894 1 
uedin.5770 2483 77.5 -0.105025172438615 2 
uedin.5770 1460 95 0.63596334859064 1 
uedin.5770 1301 39 -0.661614578091387 1 
uedin.5770 2348 87.5 0.828199175538038 2 
uedin.5770 573 88 0.79036652622204 1 
uedin.5770 1925 66 0.0367612098790808 1 
uedin.5770 776 96 1.06440482307402 1 
uedin.5770 1201 99 1.16442807042868 1 
uedin.5770 2881 99 1.16442807042868 1 
uedin.5770 1247 73 0.311462868128299 1 
uedin.5770 250 84 0.654900355361531 1 
uedin.5770 559 81 0.547073452045961 1 
uedin.5770 2084 97 1.122150269729 1 
uedin.5770 2940 97.5 1.07261725896779 2 
uedin.5770 977 71.5 0.0219437679015073 2 
uedin.5770 2595 40 -1.02568227535475 1 
uedin.5770 1123 57 -0.836153618876643 1 
uedin.5770 673 43 -1.17379193526363 1 
uedin.5770 2270 90 0.681095851918388 1 
uedin.5770 2767 94 1.25122422485032 2 
uedin.5770 2469 80 0.0431644929484276 1 
uedin.5770 2303 99 0.852637198167865 1 
uedin.5770 99 99 1.03885660405117 1 
uedin.5770 2509 76 0.280502706133113 1 
uedin.5770 1846 72.5 0.146857074779695 2 
uedin.5770 2419 79 0.395056104436042 1 
uedin.5770 2003 66 -0.165925341285942 1 
uedin.5770 2324 84 0.0828702872373828 1 
uedin.5770 1429 90 0.383820990509018 1 
uedin.5770 2237 98 0.753129238070479 1 
uedin.5770 474 65.5 -0.126040033177606 2 
uedin.5770 1387 100 1.05519324198889 1 
uedin.5770 864 0 -1.74403596225743 1 
uedin.5770 66 98 0.90934496164081 1 
uedin.5770 634 100 0.976441673499349 1 
uedin.5770 702 89 0.644944045847373 1 
uedin.5770 2840 61 -0.373627792751188 1 
uedin.5770 444 98 0.972342136825482 1 
uedin.5770 2898 81 0.353923520533499 1 
uedin.5770 1000 88.6666666666667 0.836228112426745 3 
uedin.5770 290 65.5 0.0118857993374915 2 
uedin.5770 1891 99 1.05327269042148 1 
uedin.5770 219 92 0.897449679504188 2 
uedin.5770 788 80.5 0.453471087981526 2 
uedin.5770 353 89 0.732136405689493 1 
uedin.5770 888 61.5 0.15905509830662 2 
uedin.5770 2216 95 0.496072016888114 1 
uedin.5770 1727 87.5 0.353725492010915 2 
uedin.5770 710 77 -0.253677536095648 1 
uedin.5770 2045 50 -1.8155710369411 1 
uedin.5770 834 76 0.695665731951704 1 
uedin.5770 1568 87 1.0214191774607 1 
uedin.5770 2899 85.5 0.976998253073114 2 
uedin.5770 515 88 0.439842194762152 1 
uedin.5770 209 50 -0.0468446676442128 1 
