SYS SID RAW.SCR Z.SCR N 
NICT.5539 562 54 -0.793659901549591 1 
NICT.5539 3561 68.6666666666667 -0.253642393755132 3 
NICT.5539 3191 80 0.804656092245291 1 
NICT.5539 758 77.6666666666667 0.824667579636295 3 
NICT.5539 1624 81 0.723728526846254 1 
NICT.5539 3899 65 -0.175464615906839 2 
NICT.5539 275 88.3333333333333 0.633970739325358 3 
NICT.5539 2303 30.5 -1.3348904334989 2 
NICT.5539 650 54 -0.793659901549591 1 
NICT.5539 2229 54 -0.793659901549591 1 
NICT.5539 566 60 -0.456462473017181 1 
NICT.5539 2621 85 0.615535419108125 2 
NICT.5539 3106 53 -1.0244717831146 2 
NICT.5539 3189 72.3333333333333 0.243582441421882 3 
NICT.5539 105 78.5 0.350133721639421 2 
NICT.5539 338 78.6666666666667 0.420637295470138 3 
NICT.5539 3423 89 1.1733250982228 1 
NICT.5539 2614 83 0.836127669690391 1 
NICT.5539 981 61.5 0.079649361512945 2 
NICT.5539 1880 66 0.112034023342814 1 
NICT.5539 1109 94.5 1.10715958968544 2 
NICT.5539 867 93.5 1.12530887117763 2 
NICT.5539 1902 88 0.821355276789483 2 
NICT.5539 1424 42 -0.28212365393708 2 
NICT.5539 1144 70 0.335079406944629 1 
NICT.5539 3576 72 0.446602098745537 1 
NICT.5539 2731 71.5 -0.372780152752131 2 
NICT.5539 2757 91 0.847946794679962 2 
NICT.5539 1169 100 1.79152038386555 1 
NICT.5539 3663 72 0.217932384047639 1 
NICT.5539 3486 76.6666666666667 -0.0709251436792277 3 
NICT.5539 2790 73 0.531521451225204 2 
NICT.5539 1951 73 0.274131955469708 1 
NICT.5539 224 83 0.95406860225593 1 
NICT.5539 2900 60.5 -0.7176775160365 2 
NICT.5539 847 60 -0.19142730782563 1 
NICT.5539 3792 81.5 0.491583477676709 2 
NICT.5539 2409 77.5 0.085367143674106 2 
NICT.5539 1314 38 -1.44928366186989 2 
NICT.5539 1037 42 -1.22623827826807 1 
NICT.5539 110 87.5 0.629135821237223 2 
NICT.5539 3001 91.5 0.880888017655806 2 
NICT.5539 2886 71 0.161732812625571 1 
NICT.5539 3229 82.5 0.426188956753959 2 
NICT.5539 400 78 0.804791795446136 3 
NICT.5539 1549 52.5 -1.1501170449798 2 
NICT.5539 3955 83 0.467902015553221 2 
NICT.5539 3519 58 -0.522963830932494 2 
NICT.5539 3127 59 -0.140934126269825 1 
NICT.5539 1507 73 0.506650561861471 1 
NICT.5539 823 79 0.738115344301935 1 
NICT.5539 3819 34 -1.57992203587462 2 
NICT.5539 648 92 0.828746707881669 2 
NICT.5539 2463 65 0.117444889909007 1 
NICT.5539 2847 84.5 0.532496769597929 2 
NICT.5539 3443 71 0.37582390608784 1 
NICT.5539 198 67 0.128285113072529 3 
NICT.5539 3146 80 0.307487367334694 2 
NICT.5539 2441 82.5 0.53209643059644 2 
NICT.5539 2540 72 0.0648579000276055 2 
NICT.5539 3370 55 -0.313186803722381 1 
NICT.5539 384 86.6666666666667 0.484240328920635 3 
NICT.5539 2707 47.6666666666667 -0.639168904846766 3 
NICT.5539 1797 99.5 1.19503443941902 2 
NICT.5539 1941 50 -0.590683297409072 2 
NICT.5539 3822 86.6666666666667 0.392125565529135 3 
NICT.5539 2567 29 -1.74797760616748 1 
NICT.5539 655 58.5 -0.200862713219966 2 
NICT.5539 1617 64 0.0875824363126222 1 
NICT.5539 699 62 -0.0173067089719552 1 
NICT.5539 1020 100 1.97558705143501 1 
NICT.5539 3047 60 -0.122195854256533 2 
NICT.5539 730 56 -0.331974144825687 1 
NICT.5539 3809 41 -1.11864273446002 1 
NICT.5539 2057 7 -2.90175820429783 1 
NICT.5539 1890 64 0.0875824363126222 1 
NICT.5539 518 38 -1.27597645238688 1 
NICT.5539 65 83 0.131590578526126 1 
NICT.5539 3731 100 1.16228027362993 1 
NICT.5539 674 90 0.555992217686514 1 
NICT.5539 2453 86 0.313476995309149 1 
NICT.5539 3651 91 0.616621023280855 1 
NICT.5539 239 87 0.396228426919542 1 
NICT.5539 550 91 0.62802567849953 1 
NICT.5539 637 83 0.164431175339554 1 
NICT.5539 2760 94 0.801873617184521 1 
NICT.5539 3654 87 0.0936378121305757 1 
NICT.5539 3594 85 -0.0272990860193921 1 
NICT.5539 1704 90 0.275043159355527 1 
NICT.5539 355 91 0.335511608430511 1 
NICT.5539 1856 89 0.214574710280544 1 
NICT.5539 1548 91 0.335511608430511 1 
NICT.5539 3746 80.5 -0.0199814354597275 2 
NICT.5539 703 74 -0.414068671822945 1 
NICT.5539 1113 74 -0.414068671822945 1 
NICT.5539 3582 73 -0.474697477417286 1 
NICT.5539 3259 84 0.192219384120467 1 
NICT.5539 2873 95 0.577385404730447 1 
NICT.5539 1667 95 0.577385404730447 1 
NICT.5539 1519 95 0.577385404730447 1 
NICT.5539 2100 87 0.0936378121305757 1 
NICT.5539 1066 100 1.16228027362993 1 
NICT.5539 759 53.5 -1.65695918650694 2 
NICT.5539 3606 100 1.16228027362993 1 
NICT.5539 402 80 0.0854593597570328 1 
NICT.5539 2347 55 -1.11288711384483 1 
NICT.5539 2869 71 -0.345945370739639 1 
NICT.5539 294 72 -0.298011511795564 1 
NICT.5539 2195 75 -0.15420993496334 1 
NICT.5539 2546 98 0.660641701136109 1 
NICT.5539 1360 97 0.595553848807428 1 
NICT.5539 1269 90 0.495385665770745 1 
NICT.5539 2670 88 0.413027284096473 1 
NICT.5539 2559 99 0.865998383304968 1 
NICT.5539 3887 99 0.865998383304968 1 
NICT.5539 125 92 0.577744047445017 1 
NICT.5539 2688 55 -0.155883964454088 1 
NICT.5539 3305 99 1.04532346741629 1 
NICT.5539 2645 13 -1.30249105851218 1 
NICT.5539 3104 92 0.854222285073278 1 
NICT.5539 1317 75 0.390119413668812 1 
NICT.5539 3631 100 1.07262363632244 1 
NICT.5539 78 74 -0.163481387623429 1 
NICT.5539 531 90 0.495385665770745 2 
NICT.5539 1491 88 0.413027284096473 1 
NICT.5539 3508 88 0.413027284096473 1 
NICT.5539 2063 75.5 -0.748646977423111 2 
NICT.5539 139 98 0.748979783369953 1 
NICT.5539 1111 100 0.754282477248377 1 
NICT.5539 3174 97 0.651659010956081 1 
NICT.5539 3817 69 -0.306160007772017 1 
NICT.5539 2639 99 0.720074655150945 1 
NICT.5539 3337 89 0.516864090253704 1 
NICT.5539 1759 95 0.804467243918152 1 
NICT.5539 3892 90 0.564797949197779 1 
NICT.5539 3762 89 0.516864090253704 1 
NICT.5539 3292 79 1.26491979779625 1 
NICT.5539 3906 77 1.19941385280421 1 
NICT.5539 519 51 0.34783656790772 1 
NICT.5539 525 6 -1.12604719441313 1 
NICT.5539 1825 83 1.39593168778032 1 
NICT.5539 3274 40.5 0.00393035669952199 2 
NICT.5539 2077 19 -0.700258551964884 2 
NICT.5539 137 94 1.75621438523653 1 
NICT.5539 3963 24 -0.536493689484789 1 
NICT.5539 1684 86 0.733051408216274 2 
NICT.5539 712 70 0.230100184740271 1 
NICT.5539 2861 96 1.04739592288878 1 
NICT.5539 995 9 -1.68740135476199 1 
NICT.5539 1697 76 -0.179198874913475 1 
NICT.5539 1 92 0.619301142803244 1 
NICT.5539 3103 83.5 0.195098008391237 2 
NICT.5539 155 93 0.669207393910539 1 
NICT.5539 951 95 0.769019896125129 1 
NICT.5539 1085 92 0.395980057505495 1 
NICT.5539 3210 90 0.275043159355527 1 
NICT.5539 1112 94 0.516916955655463 1 
NICT.5539 3905 93 0.456448506580479 1 
NICT.5539 1450 92 0.395980057505495 1 
NICT.5539 792 91 0.335511608430511 1 
NICT.5539 3798 88 0.15410626120556 1 
NICT.5539 3848 62 -0.428033371792157 1 
NICT.5539 2658 88 0.855573048807159 1 
NICT.5539 3468 76 -0.71536638273882 1 
NICT.5539 645 76 -0.71536638273882 1 
NICT.5539 3688 77 -0.648805193370239 1 
NICT.5539 2622 50 -0.635241858505709 1 
NICT.5539 3784 97 0.931199240642681 1 
NICT.5539 1766 75 0.198650108618627 2 
NICT.5539 2877 26 -1.22442815487738 1 
NICT.5539 3215 25 -1.25347056841812 1 
NICT.5539 1074 99 0.895668033596264 2 
NICT.5539 2929 100 0.924710447136999 1 
NICT.5539 2942 35 -0.963046433010769 1 
NICT.5539 1128 82.5 0.337179385043149 2 
NICT.5539 1227 91 0.814055387184042 1 
NICT.5539 1730 93 0.92626150533484 1 
NICT.5539 2823 97 1.22750147895115 1 
NICT.5539 1125 61 -0.115304104434466 1 
NICT.5539 3212 92 1.04100070348092 1 
NICT.5539 1107 89 0.92910023819879 1 
NICT.5539 1147 89.5 0.94775031574581 2 
NICT.5539 1076 93 1.07830085857497 1 
NICT.5539 2952 90 0.652199542958628 1 
NICT.5539 2186 76 0.0668922608162693 1 
NICT.5539 1165 96 0.462752367788178 2 
NICT.5539 857 100 0.647853314903449 1 
NICT.5539 40 94 0.370201894230542 1 
NICT.5539 1022 98 0.555302841345814 1 
NICT.5539 2120 2 -3.88711988942069 1 
NICT.5539 1185 84 -0.0925504735576356 1 
NICT.5539 485 99.5 1.15599994887324 2 
NICT.5539 2469 41 -0.582904576945336 1 
NICT.5539 2607 80 0.576365106933711 1 
NICT.5539 2291 53 -0.22620621267486 1 
NICT.5539 639 54 -0.196481348985654 1 
NICT.5539 3592 82 0.635814834312124 1 
NICT.5539 1409 7 -1.59354994237835 1 
NICT.5539 2168 77 0.487190515866092 1 
NICT.5539 2070 82 -0.699466391372319 1 
NICT.5539 1711 85 -0.150147235844319 1 
NICT.5539 2864 90 0.765384690035681 1 
NICT.5539 434 100 2.59644854179568 1 
NICT.5539 170 83 -0.516360006196319 1 
NICT.5539 2506 78 -1.43189193207632 1 
NICT.5539 2227 100 2.59644854179568 1 
NICT.5539 2527 82 -0.699466391372319 1 
NICT.5539 3643 50 -0.463780905972609 1 
NICT.5539 801 95 0.835729727200952 1 
NICT.5539 403 24 -1.21460927180622 1 
NICT.5539 2791 50 -0.463780905972609 1 
NICT.5539 2933 99 0.951241783483047 1 
NICT.5539 2593 3 -1.82104756728722 1 
NICT.5539 1472 77 0.315925473931528 1 
NICT.5539 3208 0 -5.16711725739302 1 
NICT.5539 3029 0 -5.16711725739302 1 
NICT.5539 3916 0 -5.16711725739302 1 
NICT.5539 2876 27 -1.51482839752621 1 
NICT.5539 2581 83 0.442946591199102 1 
NICT.5539 1888 38 -1.13026545331231 1 
NICT.5539 2171 8 -2.17907348298659 1 
NICT.5539 2644 100 1.03727114134786 1 
NICT.5539 1998 7 -2.2140337506424 1 
NICT.5539 1247 54 -0.570901170819364 1 
NICT.5539 941 75 -0.22910512602077 1 
NICT.5539 3685 87 0.0936378121305757 1 
NICT.5539 868 93 0.456448506580479 1 
NICT.5539 3458 92 0.395980057505495 1 
NICT.5539 3432 96 0.637853853805431 1 
NICT.5539 3903 93 0.456448506580479 1 
NICT.5539 3686 56.5 -2.38496966604627 2 
NICT.5539 3872 100 0.417466327282005 1 
NICT.5539 544 100 0.762324009013158 1 
NICT.5539 751 99 0.727954125829517 1 
NICT.5539 3830 97 0.659214359462235 1 
NICT.5539 3011 99 0.727954125829517 1 
NICT.5539 3563 98 0.555302841345814 1 
NICT.5539 1446 97 0.509027604566996 1 
NICT.5539 1678 99 0.601578078124631 2 
NICT.5539 2311 96 0.462752367788178 1 
NICT.5539 2812 90 0.185100947115271 1 
NICT.5539 1288 98 0.555302841345814 1 
NICT.5539 2529 98 0.555302841345814 1 
NICT.5539 2447 100 0.4487172179947 2 
NICT.5539 322 100 0.4487172179947 1 
NICT.5539 987 100 0.4487172179947 1 
NICT.5539 128 100 0.4487172179947 1 
NICT.5539 1376 100 0.4487172179947 1 
NICT.5539 3243 100 0.4487172179947 1 
NICT.5539 583 100 0.4487172179947 1 
NICT.5539 721 100 0.4487172179947 1 
NICT.5539 773 100 0.4487172179947 1 
NICT.5539 3655 100 0.4487172179947 1 
NICT.5539 2774 100 0.4487172179947 1 
NICT.5539 813 100 0.796105236065557 2 
NICT.5539 2250 51 -1.42032411434423 1 
NICT.5539 2842 80 -0.108559804918031 1 
NICT.5539 201 100 0.882102162107114 1 
NICT.5539 351 95 0.769019896125129 1 
NICT.5539 726 80 0.0204261295157047 1 
NICT.5539 449 94 0.719113645017834 2 
NICT.5539 2786 66 -0.678261385986425 1 
NICT.5539 457 77 -0.12929262380618 1 
NICT.5539 2394 59 0.109912545841668 1 
NICT.5539 3026 86 0.938861913921283 1 
NICT.5539 2762 99 1.07046345457345 1 
NICT.5539 459 88 0.656284840422628 1 
NICT.5539 1774 86 0.580979637849751 1 
NICT.5539 618 58 -0.110899717740711 2 
NICT.5539 1621 19 -1.23820255897745 1 
NICT.5539 3873 92 0.871877118209265 1 
NICT.5539 1767 99 1.07421352561073 1 
NICT.5539 2794 25 -1.4936539233147 2 
NICT.5539 2883 92 0.686625224007411 1 
NICT.5539 1530 97 0.849332623061301 1 
NICT.5539 1810 86 0.491376345142745 1 
NICT.5539 2276 88 0.5564593047643 1 
NICT.5539 363 95 0.785687327894288 1 
NICT.5539 2708 14 -1.57312192189953 1 
NICT.5539 3003 100 0.93129283714082 1 
NICT.5539 2056 43 -0.72860996826965 2 
NICT.5539 3270 98 0.873050633442208 1 
NICT.5539 3510 99 0.902171735291514 1 
NICT.5539 628 51 -0.495641153475196 1 
NICT.5539 58 50 -0.557784247271599 1 
NICT.5539 3832 72 0.594987329992392 1 
NICT.5539 1712 45 -0.81977778755887 2 
NICT.5539 21 62 0.0710002494178502 1 
NICT.5539 1077 57 -0.19099329086942 1 
NICT.5539 3858 78 0.909379578337116 1 
NICT.5539 2898 100 0.922819770266856 1 
NICT.5539 425 100 0.922819770266856 1 
NICT.5539 2107 88 0.61184427902276 1 
NICT.5539 1672 100 0.922819770266856 1 
NICT.5539 2158 9 -1.43541103833421 1 
NICT.5539 1414 53 -0.295167570439188 1 
NICT.5539 1238 37 -1.01050782669154 1 
NICT.5539 3790 62 -0.0780039493404213 2 
NICT.5539 2854 49 -0.562905965563005 1 
NICT.5539 1151 96 1.1902013238571 1 
NICT.5539 67 67 0.108496826129803 1 
NICT.5539 3185 78 -0.523765445315923 1 
NICT.5539 2362 99 0.859765919669534 1 
NICT.5539 240 99 0.859765919669534 1 
NICT.5539 3506 77 -0.589647891267611 1 
NICT.5539 3719 75 -0.721412783170988 1 
NICT.5539 3691 99 0.859765919669534 1 
NICT.5539 3755 93 0.417955586085692 1 
NICT.5539 218 75 -0.384947354100269 1 
NICT.5539 3427 33 -2.25838754786751 1 
NICT.5539 292 89 0.163422597808797 1 
NICT.5539 1620 92 0.275100910662189 1 
NICT.5539 359 100 0.572909744937901 2 
NICT.5539 2307 100 0.572909744937901 1 
NICT.5539 2685 100 0.572909744937901 2 
NICT.5539 2742 75 -0.357742862173699 1 
NICT.5539 2516 100 0.572909744937901 1 
NICT.5539 2624 89 0.889789809254993 1 
NICT.5539 3431 100 0.566439037795746 1 
NICT.5539 3970 100 0.566439037795746 1 
NICT.5539 1035 100 0.566439037795746 1 
NICT.5539 3875 100 0.566439037795746 1 
NICT.5539 3945 100 0.566439037795746 1 
NICT.5539 934 50 -2.34907111295559 1 
NICT.5539 3658 87 -0.0909357224812633 1 
NICT.5539 540 50 -2.34907111295559 1 
NICT.5539 2088 100 0.702463198496204 1 
NICT.5539 243 100 0.702463198496204 1 
NICT.5539 3036 76 -0.762273271000659 1 
NICT.5539 680 99 0.641432512267168 1 
NICT.5539 3265 98 0.580401826038132 1 
NICT.5539 3712 61 -1.47854186381901 1 
NICT.5539 3195 96 0.637853853805431 1 
NICT.5539 2087 63 -1.35760496566904 1 
NICT.5539 3621 73 -0.752920474919199 1 
NICT.5539 899 90 0.275043159355527 1 
NICT.5539 3586 95 0.577385404730447 1 
NICT.5539 1075 90 0.423088930970594 2 
NICT.5539 391 92 0.533604058557546 1 
NICT.5539 1501 91.5 0.505975276660808 2 
NICT.5539 3227 93 0.588861622351022 1 
NICT.5539 1117 79 -0.184744270757642 1 
NICT.5539 395 91 0.47834649476407 1 
NICT.5539 2674 67 -1.1157311693691 1 
NICT.5539 3046 57 -1.72041566011894 1 
NICT.5539 1736 83 -0.14823598416936 1 
NICT.5539 2969 84 -0.087767535094376 1 
NICT.5539 3603 57 -1.72041566011894 1 
NICT.5539 3138 63 -1.35760496566904 1 
NICT.5539 1664 55 -1.84135255826891 1 
NICT.5539 3396 82 -0.208704433244344 1 
NICT.5539 576 62.5 -0.209773906559598 2 
NICT.5539 41 76 0.447290533940299 1 
NICT.5539 171 10 -2.76502450850363 1 
NICT.5539 3163 74 0.34994765386624 1 
NICT.5539 1362 88 1.03134781438465 1 
NICT.5539 1189 73 0.647386038049846 1 
NICT.5539 3751 39 -1.13417003590359 1 
NICT.5539 549 96 1.85255632337129 1 
NICT.5539 638 93 0.618923238282152 1 
NICT.5539 2413 56.5 -0.884117227273307 2 
NICT.5539 1057 88 0.413027284096473 1 
NICT.5539 2344 18 -2.46951607450304 1 
NICT.5539 486 90 0.495385665770745 1 
NICT.5539 767 97 0.783640001630696 1 
NICT.5539 926 86 0.518664244922772 1 
NICT.5539 3898 71 -0.0711737894852327 1 
NICT.5539 1435 77 0.164761424277969 1 
NICT.5539 3070 73 0.00747128176916797 1 
NICT.5539 1088 90 0.675954387431574 1 
NICT.5539 2481 94 0.833244529940375 1 
NICT.5539 2496 83 0.400696638041171 1 
NICT.5539 1758 79 0.24340649553237 1 
NICT.5539 787 36 -0.831713526069613 1 
NICT.5539 3555 79 0.59826174866023 1 
NICT.5539 2859 78 0.565006509713024 1 
NICT.5539 2490 94 0.420033675743394 1 
NICT.5539 3687 99 0.680924157571589 1 
NICT.5539 1469 90 0.211321290280838 1 
NICT.5539 1171 99.5 0.707013205754409 2 
NICT.5539 3476 97 0.576567964840311 1 
NICT.5539 2802 100 0.733102253937228 1 
NICT.5539 146 99 0.680924157571589 1 
NICT.5539 907 68 -0.0255560326814863 1 
NICT.5539 533 48 -0.745444277230403 1 
NICT.5539 2170 88 0.15410626120556 1 
NICT.5539 974 90 0.275043159355527 1 
NICT.5539 498 89 0.214574710280543 2 
NICT.5539 740 92 0.395980057505495 1 
NICT.5539 1493 91.5 0.365745832968003 2 
NICT.5539 3743 88.5 0.184340485743051 2 
NICT.5539 3397 91 0.335511608430511 1 
NICT.5539 783 99 0.493730146401157 1 
NICT.5539 220 97 0.407186737741883 1 
NICT.5539 1615 96.5 0.385550885577065 2 
NICT.5539 3097 84.5 -0.133709566378578 2 
NICT.5539 3562 100 0.537001850730794 1 
NICT.5539 3109 99 0.493730146401157 2 
NICT.5539 3488 93 0.234099920423336 1 
NICT.5539 419 98 0.45045844207152 1 
NICT.5539 666 100 0.537001850730794 1 
NICT.5539 2923 91 0.335511608430511 1 
NICT.5539 3161 84.5 -0.057533310556884 2 
NICT.5539 3360 83 -0.14823598416936 2 
NICT.5539 3882 93 0.456448506580479 1 
NICT.5539 2007 85 -0.0272990860193921 1 
NICT.5539 2701 86 0.0331693630555918 1 
NICT.5539 2058 89 0.214574710280544 1 
NICT.5539 1874 94 0.516916955655463 1 
NICT.5539 3613 86 0.0331693630555918 1 
NICT.5539 3172 73 -0.752920474919199 1 
NICT.5539 3184 3 -1.53520988935127 1 
NICT.5539 1635 54 -0.0182922422154613 1 
NICT.5539 1564 100 1.34990798853448 1 
NICT.5539 1054 87 0.963242705931237 1 
NICT.5539 245 64 0.279142590556266 1 
NICT.5539 3057 26 -0.851109773976296 1 
NICT.5539 3261 43 -0.345470558264361 1 
NICT.5539 2353 65 -0.0450825415747145 1 
NICT.5539 2020 70 0.165978046321889 1 
NICT.5539 2749 78 0.503674986956456 1 
NICT.5539 1509 78 0.503674986956456 1 
NICT.5539 1968 47 -0.804900658002489 1 
NICT.5539 633 63 -0.129506776733356 1 
NICT.5539 3653 43 -0.973749128319772 1 
NICT.5539 982 86.5 0.862477986380684 2 
NICT.5539 1441 81 0.630311339694418 1 
NICT.5539 3135 69 0.123765928742569 1 
NICT.5539 1689 92 1.09464463306695 1 
NICT.5539 1905 70 0.165978046321889 1 
NICT.5539 1296 100 0.922819770266856 1 
NICT.5539 2589 100 0.922819770266856 1 
NICT.5539 3382 50 -0.372911443250212 1 
NICT.5539 3910 86 0.560015030482077 1 
NICT.5539 1662 100 0.648399719221932 1 
NICT.5539 2988 63 -0.408230521307092 1 
NICT.5539 199 51 -0.750921410127316 1 
NICT.5539 2113 98 0.591284571085228 1 
NICT.5539 2734 100 0.648399719221932 1 
NICT.5539 2440 100 1.19168294720469 1 
NICT.5539 1231 79 0.612124311463642 1 
NICT.5539 164 76 0.529330220643492 1 
NICT.5539 2111 36 -0.574590990291841 1 
NICT.5539 3546 95 1.05369279583778 1 
NICT.5539 1844 100 1.19168294720469 1 
NICT.5539 3166 95.5 0.962196233580717 2 
NICT.5539 1881 80 0.428025688433829 1 
NICT.5539 1920 51 -0.571390170228091 1 
NICT.5539 3302 81 0.462488304249758 1 
NICT.5539 3373 99 0.968644900554309 2 
NICT.5539 3556 81 0.0703323806229996 1 
NICT.5539 49 88 0.419676138374064 1 
NICT.5539 1574 79 -0.0294801215915903 1 
NICT.5539 2925 93 0.669207393910539 1 
NICT.5539 3068 77 0.567654368956744 1 
NICT.5539 772 57 -0.411060060279022 1 
NICT.5539 2166 71 0.274040040186014 1 
NICT.5539 123 67 -0.00476739448889195 1 
NICT.5539 761 33 -1.4783256910555 1 
NICT.5539 1201 79 0.515312004299323 1 
NICT.5539 2694 81 0.601991904097359 1 
NICT.5539 1873 79 0.515312004299323 1 
NICT.5539 132 66 -0.0481073443879099 1 
