79.9 0.413 2121 2995 RWTH.5636 
79.4 0.395 2133 3045 UCAM.5690 
78.2 0.359 2120 3004 NTT.5666 
77.4 0.321 2131 3029 MLLP-UPV.5554 
77.3 0.346 2177 3056 online-B.0 
77 0.317 2157 3068 JHU.5706 
76.9 0.315 2131 3016 Ubiqus-NMT.5635 
76.7 0.31 2120 3031 online-Y.0 
75.7 0.268 2147 3043 online-A.0 
75.4 0.261 2164 3055 uedin.5766 
72.5 0.162 2152 3034 LMU-nmt.5756 
72.2 0.149 2124 3022 NJUNMT-private.5406 
65.2 -0.074 2162 3037 online-G.0 
58.5 -0.296 2130 3032 online-F.0 
45.4 -0.752 2081 2966 RWTH-UNSUPER.5482 
42.7 -0.835 2148 3036 LMU-unsup.5650 
