80.7 0.219 1876 2380 Tencent-ensemble-system.5760 
80.3 0.206 1882 2389 Unisound.5669 
80.5 0.199 1823 2328 GTCOM-Primary.5762 
79.7 0.185 1839 2338 Alibaba-ensemble-system-with-reranking.5738 
79.2 0.173 1814 2320 Alibaba-General-System.5749 
79.5 0.166 1789 2241 online-B.0 
79 0.165 1818 2330 Alibaba-General-System.5743 
78.1 0.094 1803 2260 UMD.5680 
77.5 0.082 1807 2282 NICT.5538 
77.1 0.069 1731 2215 online-Y.0 
75.5 0.037 1822 2297 online-A.0 
70.7 -0.202 1840 2327 uedin.5735 
63.3 -0.419 1832 2301 online-F.0 
63.4 -0.435 1869 2403 online-G.0 
