RAW.SCR Z.SCR N SYS N.ALL 
75.4059149722736 0.26114349925035 2164 uedin.5766 3055 
75.7111706256792 0.267827934156661 2147 online-A.0 3043 
65.1667052112242 -0.0739777707217495 2162 online-G.0 3037 
72.243094789705 0.148704696962799 2124 NJUNMT-private.5406 3022 
77.0029439035698 0.31704698106804 2157 JHU.5706 3068 
42.6721989447548 -0.835038755902273 2148 LMU-unsup.5650 3036 
79.448155961869 0.394693344667881 2133 UCAM.5690 3045 
78.2160770440252 0.359236481978429 2120 NTT.5666 3004 
77.2592941356607 0.346403993238584 2177 online-B.0 3056 
76.7143474842767 0.310207504822727 2120 online-Y.0 3031 
76.9438839355545 0.315219634389133 2131 Ubiqus-NMT.5635 3016 
58.4781298904538 -0.296298811670639 2130 online-F.0 3032 
77.4118176130142 0.321319679001849 2131 MLLP-UPV.5554 3029 
79.9015401540154 0.413379741610339 2121 RWTH.5636 2995 
72.4505653655514 0.162053219507386 2152 LMU-nmt.5756 3034 
45.4092984142239 -0.752456900912833 2081 RWTH-UNSUPER.5482 2966 
