RAW.SCR Z.SCR N SYS N.ALL 
59.2244444444444 0.323584655037457 750 uedin.5707 847 
45.3250688705234 -0.233404823651499 726 online-G.0 826 
63.0959801264679 0.46596407046552 738 HY-NMT-en-fi.5570 828 
55.9217410915652 0.183651649962221 739 CUNI-Kocmi.5620 850 
42.6746366619784 -0.334292488940604 711 HY-SMT-en-fi.5436 820 
41.5151927437642 -0.368754363335979 735 HY-AH-en-fi.5567 834 
58.3246456332876 0.271369219842812 729 Aalto.5550 832 
57.8997155049787 0.257719110037375 703 HY-NMTtwostep-en-fi.5639 821 
57.3542519326967 0.237540541817696 733 talp-upc.5424 817 
45.9180672268908 -0.211900423496464 714 online-A.0 834 
56.6150793650794 0.182955112403652 714 online-B.0 827 
64.7212719298246 0.520754757685748 760 NICT.5658 859 
