HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	engdeu5621	en	de	ad	NA	LMU-unsup.5651	NA	BAD_REF	1192	-1.76378297840127	16.2850000858
NA	engdeu5404	en	de	ad	NA	uedin.5770	NA	SYSTEM	2710	0.706857265714831	23.5420000553
NA	engdeu5404	en	de	ad	NA	LMU-nmt.5741	NA	SYSTEM	1812	0.601464641301473	18.9809999466
NA	engdeu5404	en	de	ad	NA	Microsoft-Marian.5691	NA	SYSTEM	1812	0.601464641301473	18.9809999466
NA	engdeu5404	en	de	ad	NA	UCAM.5585	NA	SYSTEM	1812	0.601464641301473	18.9809999466
NA	engdeu5404	en	de	ad	NA	uedin.5770	NA	SYSTEM	2121	-0.0835874173853562	24.9839999676
NA	engdeu5404	en	de	ad	NA	online-G.0	NA	SYSTEM	648	-0.347068978418752	24.7369999886
NA	engdeu5404	en	de	ad	NA	REFERENCE	NA	REF	2132	0.75955357792151	21.4639999866
NA	engdeu5404	en	de	ad	NA	JHU.5703	NA	SYSTEM	540	0.706857265714831	18.4079999924
NA	engdeu5404	en	de	ad	NA	KIT.5486	NA	SYSTEM	540	0.706857265714831	18.4079999924
NA	engdeu5404	en	de	ad	NA	uedin.5770	NA	SYSTEM	540	0.706857265714831	18.4079999924
NA	engdeu5404	en	de	ad	NA	online-F.0	NA	SYSTEM	1632	0.601464641301473	18.5550000668
NA	engdeu5404	en	de	ad	NA	Microsoft-Marian.5691	NA	BAD_REF	2249	-0.45246160283211	31.3849999905
NA	engdeu5404	en	de	ad	NA	RWTH-UNSUPER.5484	NA	SYSTEM	684	0.601464641301473	25.7490000725
NA	engdeu5404	en	de	ad	NA	LMU-unsup.5651	NA	SYSTEM	956	0.75955357792151	22.0
NA	engdeu5404	en	de	ad	NA	online-F.0	NA	SYSTEM	990	-0.557854227245469	42.7489998341
NA	engdeu5404	en	de	ad	NA	MMT-production-system.5594	NA	SYSTEM	2846	0.75955357792151	19.5869998932
NA	engdeu5404	en	de	ad	NA	online-A.0	NA	SYSTEM	2846	0.75955357792151	19.5869998932
NA	engdeu5404	en	de	ad	NA	online-B.0	NA	SYSTEM	2846	0.75955357792151	19.5869998932
NA	engdeu5404	en	de	ad	NA	online-Y.0	NA	SYSTEM	2846	0.75955357792151	19.5869998932
NA	engdeu5404	en	de	ad	NA	UCAM.5585	NA	SYSTEM	1909	0.706857265714831	34.6670000553
NA	engdeu5404	en	de	ad	NA	online-Z.0	NA	SYSTEM	1909	0.706857265714831	34.6670000553
NA	engdeu5404	en	de	ad	NA	KIT.5486	NA	SYSTEM	1947	0.0218052070280021	38.1059999466
NA	engdeu5404	en	de	ad	NA	LMU-nmt.5741	NA	SYSTEM	1716	0.654160953508152	40.5209999084
NA	engdeu5404	en	de	ad	NA	uedin.5770	NA	SYSTEM	1897	-1.50638784696569	29.9869999886
NA	engdeu5404	en	de	ad	NA	UCAM.5585	NA	SYSTEM	2132	0.706857265714831	63.1879999638
NA	engdeu5404	en	de	ad	NA	REFERENCE	NA	REF	249	0.75955357792151	19.1840000153
NA	engdeu5404	en	de	ad	NA	online-B.0	NA	SYSTEM	2646	0.75955357792151	25.1239998341
NA	engdeu5404	en	de	ad	NA	Microsoft-Marian.5691	NA	SYSTEM	2249	0.706857265714831	41.489000082
NA	engdeu5404	en	de	ad	NA	online-Z.0	NA	SYSTEM	1110	0.75955357792151	34.9820001125
NA	engdeu5404	en	de	ad	NA	RWTH-UNSUPER.5484	NA	BAD_REF	684	-1.87526203241245	78.0059998035
NA	engdeu5404	en	de	ad	NA	RWTH-UNSUPER.5484	NA	SYSTEM	537	-3.35075877419946	59.4190001488
NA	engdeu5404	en	de	ad	NA	online-Y.0	NA	SYSTEM	450	0.285286768061398	64.5
