HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	engzho5611	en	zh	ad	NA	REFERENCE	NA	REF	872	1.0651551356876	4.16799998283
NA	engzho5611	en	zh	ad	NA	Tencent-ensemble-system.5760	NA	SYSTEM	277	1.0651551356876	8.62799978256
NA	engzho5611	en	zh	ad	NA	online-B.0	NA	SYSTEM	3406	1.0651551356876	51.2160000801
NA	engzho5611	en	zh	ad	NA	uedin.5735	NA	SYSTEM	1549	-0.0752165399507834	31.7660000324
NA	engzho5611	en	zh	ad	NA	UMD.5680	NA	BAD_REF	1184	-1.28686144531656	5.47599983215
NA	engzho5611	en	zh	ad	NA	NICT.5538	NA	SYSTEM	3357	-0.122732026435716	28.5769999027
NA	engzho5611	en	zh	ad	NA	online-A.0	NA	BAD_REF	534	-1.28686144531656	24.9349999428
NA	engzho5611	en	zh	ad	NA	UMD.5680	NA	SYSTEM	2419	0.780062216778003	75.6830000877
NA	engzho5611	en	zh	ad	NA	NICT.5538	NA	SYSTEM	3305	1.0651551356876	17.8130002022
NA	engzho5611	en	zh	ad	NA	NICT.5538	NA	SYSTEM	1189	0.518727041110874	49.4660000801
NA	engzho5611	en	zh	ad	NA	UMD.5680	NA	SYSTEM	3141	-0.0989742831932497	19.7119998932
NA	engzho5611	en	zh	ad	NA	Unisound.5669	NA	SYSTEM	2765	-0.978010783164503	11.2269999981
NA	engzho5611	en	zh	ad	NA	Alibaba-ensemble-system-with-reranking.5738	NA	SYSTEM	2443	1.0651551356876	6.95399999619
NA	engzho5611	en	zh	ad	NA	Unisound.5669	NA	SYSTEM	1944	0.518727041110874	11.6579999924
NA	engzho5611	en	zh	ad	NA	Alibaba-General-System.5743	NA	SYSTEM	1241	1.0651551356876	30.1040000916
NA	engzho5611	en	zh	ad	NA	Alibaba-General-System.5749	NA	SYSTEM	1241	1.0651551356876	30.1040000916
NA	engzho5611	en	zh	ad	NA	Unisound.5669	NA	SYSTEM	1806	-0.122732026435716	19.2849998474
NA	engzho5611	en	zh	ad	NA	UMD.5680	NA	REPEAT	3128	0.898850932990335	11.2379999161
NA	engzho5611	en	zh	ad	NA	uedin.5735	NA	SYSTEM	175	-1.28686144531656	20.882999897
NA	engzho5611	en	zh	ad	NA	online-A.0	NA	BAD_REF	2715	-1.28686144531656	9.97199988365
NA	engzho5611	en	zh	ad	NA	online-A.0	NA	BAD_REF	1886	-1.28686144531656	10.1670000553
NA	engzho5611	en	zh	ad	NA	online-F.0	NA	SYSTEM	2229	-1.0492840128919	18.6959998608
NA	engzho5611	en	zh	ad	NA	online-B.0	NA	SYSTEM	1398	-1.1918304723467	40.8129999638
NA	engzho5610	en	zh	ad	NA	REFERENCE	NA	REF	2240	1.10053259953736	8.33299994469
NA	engzho5610	en	zh	ad	NA	Alibaba-ensemble-system-with-reranking.5738	NA	SYSTEM	2053	1.10053259953736	18.0509998798
NA	engzho5610	en	zh	ad	NA	uedin.5735	NA	BAD_REF	2955	-1.39166167178909	21.8499999046
NA	engzho5610	en	zh	ad	NA	online-Y.0	NA	SYSTEM	635	1.05018524052066	50.7009999752
NA	engzho5610	en	zh	ad	NA	Tencent-ensemble-system.5760	NA	SYSTEM	2695	1.10053259953736	7.72699999809
NA	engzho5610	en	zh	ad	NA	online-G.0	NA	REPEAT	2920	1.10053259953736	15.1330001354
NA	engzho5610	en	zh	ad	NA	uedin.5735	NA	SYSTEM	3152	-0.837840722605436	25.742000103
NA	engzho5610	en	zh	ad	NA	online-F.0	NA	SYSTEM	2244	-1.39166167178909	8.04399991035
NA	engzho5610	en	zh	ad	NA	GTCOM-Primary.5762	NA	SYSTEM	1799	0.496364291337007	11.5809998512
NA	engzho5610	en	zh	ad	NA	online-A.0	NA	SYSTEM	737	-0.485409209488564	19.371999979
NA	engzho5610	en	zh	ad	NA	REFERENCE	NA	REF	271	1.10053259953736	4.96000003815
NA	engzho5610	en	zh	ad	NA	Alibaba-General-System.5743	NA	SYSTEM	2240	-0.15815137588004	15.0039999485
NA	engzho5610	en	zh	ad	NA	Alibaba-General-System.5749	NA	SYSTEM	2240	-0.15815137588004	15.0039999485
NA	engzho5610	en	zh	ad	NA	Unisound.5669	NA	SYSTEM	1115	0.924316842978922	27.9919998646
NA	engzho5610	en	zh	ad	NA	UMD.5680	NA	SYSTEM	426	1.10053259953736	13.9399998188
NA	engzho5610	en	zh	ad	NA	online-G.0	NA	SYSTEM	3327	-1.36648799228074	16.0230000019
NA	engzho5610	en	zh	ad	NA	Tencent-ensemble-system.5760	NA	SYSTEM	3755	0.873969483962226	8.73200011253
NA	engzho5610	en	zh	ad	NA	Unisound.5669	NA	SYSTEM	3755	0.873969483962226	8.73200011253
NA	engzho5610	en	zh	ad	NA	online-F.0	NA	SYSTEM	3375	-1.39166167178909	8.27699995041
NA	engzho5610	en	zh	ad	NA	online-Y.0	NA	SYSTEM	2480	0.722927406912139	20.0509998798
