HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	ruseng5601	ru	en	ad	NA	online-G.0	NA	SYSTEM	295	0.752277579153474	8.28200006485
NA	ruseng5601	ru	en	ad	NA	online-B.0	NA	SYSTEM	680	1.12066886964658	3.71200013161
NA	ruseng5601	ru	en	ad	NA	uedin.5739	NA	REPEAT	2365	0.245739554725447	7.50999999046
NA	ruseng5601	ru	en	ad	NA	online-A.0	NA	SYSTEM	1592	0.89042431308839	6.78800010681
NA	ruseng5601	ru	en	ad	NA	afrl-ruen-syscomb.5440	NA	SYSTEM	2229	-2.97768423708927	7.8220000267
NA	ruseng5601	ru	en	ad	NA	JHU.5675	NA	SYSTEM	2162	-1.45807016380519	8.13800001144
NA	ruseng5601	ru	en	ad	NA	REFERENCE	NA	REF	2305	1.35091342620478	18.1259999275
NA	ruseng5601	ru	en	ad	NA	online-A.0	NA	SYSTEM	2854	0.15364173210217	8.9960000515
NA	ruseng5601	ru	en	ad	NA	Alibaba.5720	NA	BAD_REF	2486	-2.33299947872632	5.96400022507
NA	ruseng5601	ru	en	ad	NA	JHU.5675	NA	SYSTEM	406	0.982522135711667	7.02999997139
NA	ruseng5601	ru	en	ad	NA	online-F.0	NA	SYSTEM	1228	-0.537091937572412	12.3280000687
NA	ruseng5604	ru	en	ad	NA	online-A.0	NA	SYSTEM	690	-0.24002273175009	10.0760002136
NA	ruseng5601	ru	en	ad	NA	uedin.5739	NA	SYSTEM	2932	0.245739554725447	12.4639999866
NA	ruseng5601	ru	en	ad	NA	online-B.0	NA	SYSTEM	308	0.89042431308839	6.11800003052
NA	ruseng5601	ru	en	ad	NA	online-F.0	NA	REPEAT	1996	0.245739554725447	25.8980000019
NA	ruseng5601	ru	en	ad	NA	afrl-ruen-syscomb.5440	NA	BAD_REF	185	-2.19485274479141	6.46399998665
NA	ruseng5601	ru	en	ad	NA	online-F.0	NA	SYSTEM	425	-1.27387451855863	10.5800001621
NA	ruseng5601	ru	en	ad	NA	online-F.0	NA	BAD_REF	2314	-0.260798469702579	11.6239998341
NA	ruseng5601	ru	en	ad	NA	online-B.0	NA	SYSTEM	1976	-0.352896292325857	7.09800004959
NA	ruseng5601	ru	en	ad	NA	JHU.5675	NA	SYSTEM	1282	0.245739554725447	4.67800021172
NA	ruseng5601	ru	en	ad	NA	afrl-ruen-syscomb.5440	NA	SYSTEM	2991	-0.813385405442245	5.98600006104
NA	ruseng5601	ru	en	ad	NA	online-F.0	NA	REPEAT	260	0.660179756530196	4.66000008583
NA	ruseng5601	ru	en	ad	NA	afrl-ruen-syscomb.5440	NA	SYSTEM	772	0.107592820790531	10.7799999714
NA	ruseng5601	ru	en	ad	NA	online-G.0	NA	SYSTEM	92	0.936473224400029	7.58399987221
NA	ruseng5601	ru	en	ad	NA	uedin.5739	NA	SYSTEM	476	0.245739554725447	5.75999999046
NA	ruseng5601	ru	en	ad	NA	online-F.0	NA	SYSTEM	1996	-0.168700647079302	15.0420000553
NA	ruseng5601	ru	en	ad	NA	uedin.5739	NA	SYSTEM	1853	0.245739554725447	7.21799993515
NA	ruseng5601	ru	en	ad	NA	online-B.0	NA	BAD_REF	1300	-0.9975810506888	14.0419998169
NA	ruseng5605	ru	en	ad	NA	online-F.0	NA	SYSTEM	298	-1.31819061947103	6.24800014496
NA	ruseng5601	ru	en	ad	NA	online-F.0	NA	SYSTEM	2652	0.475984111283641	12.1919999123
NA	ruseng5601	ru	en	ad	NA	online-A.0	NA	SYSTEM	2193	0.52203302259528	12.6059999466
NA	ruseng5602	ru	en	ad	NA	online-G.0	NA	SYSTEM	2697	-0.560145931672171	14.4260001183
NA	ruseng5602	ru	en	ad	NA	online-B.0	NA	SYSTEM	40	0.0198686636041899	16.0460000038
NA	ruseng5602	ru	en	ad	NA	online-F.0	NA	SYSTEM	2783	0.388968860598238	5.61400008202
NA	ruseng5602	ru	en	ad	NA	online-F.0	NA	SYSTEM	1146	-0.61287453124275	7.5759999752
NA	ruseng5602	ru	en	ad	NA	Alibaba.5720	NA	SYSTEM	1557	0.810797657162864	7.95399999619
NA	ruseng5602	ru	en	ad	NA	afrl-ruen-syscomb.5440	NA	REPEAT	1041	0.388968860598238	9.2380001545
NA	ruseng5602	ru	en	ad	NA	online-B.0	NA	SYSTEM	536	-2.08927531921894	10.0740001202
NA	ruseng5602	ru	en	ad	NA	online-G.0	NA	SYSTEM	1424	-2.08927531921894	7.30599999428
NA	ruseng5602	ru	en	ad	NA	JHU.5675	NA	SYSTEM	1020	-0.243774334248702	16.8099999428
NA	ruseng5602	ru	en	ad	NA	online-B.0	NA	SYSTEM	496	-1.66744652265432	12.1820001602
NA	ruseng5602	ru	en	ad	NA	uedin.5739	NA	SYSTEM	296	0.863526256733443	10.756000042
NA	ruseng5602	ru	en	ad	NA	online-A.0	NA	SYSTEM	2304	-0.29650293381928	15.4419999123
NA	ruseng5602	ru	en	ad	NA	Alibaba.5720	NA	SYSTEM	413	1.02171205544518	13.486000061
NA	ruseng5602	ru	en	ad	NA	online-B.0	NA	SYSTEM	744	0.230783061886503	9.49399995804
NA	ruseng5605	ru	en	ad	NA	online-F.0	NA	SYSTEM	2936	0.278744330049192	7.69199991226
NA	ruseng5602	ru	en	ad	NA	online-G.0	NA	SYSTEM	672	0.125325862745347	9.87800002098
NA	ruseng5602	ru	en	ad	NA	Alibaba.5720	NA	BAD_REF	2990	-1.40380352480142	9.65400004387
NA	ruseng5602	ru	en	ad	NA	online-B.0	NA	SYSTEM	1019	-0.454688732531015	6.51799988747
NA	ruseng5602	ru	en	ad	NA	uedin.5739	NA	SYSTEM	461	-0.243774334248702	5.58999991417
NA	ruseng5602	ru	en	ad	NA	afrl-ruen-syscomb.5440	NA	REPEAT	2484	-0.61287453124275	6.98799991608
NA	ruseng5602	ru	en	ad	NA	REFERENCE	NA	REF	5	1.39081225243923	23.8680000305
NA	ruseng5602	ru	en	ad	NA	online-B.0	NA	SYSTEM	2991	-0.349231533389858	7.26200008392
NA	ruseng5602	ru	en	ad	NA	REFERENCE	NA	REF	2363	1.4435408520098	13.2019999027
NA	ruseng5602	ru	en	ad	NA	online-A.0	NA	SYSTEM	737	0.810797657162864	15.4200000763
NA	ruseng5602	ru	en	ad	NA	JHU.5675	NA	BAD_REF	2310	0.125325862745347	4.91199994087
NA	ruseng5602	ru	en	ad	NA	REFERENCE	NA	REF	1433	1.39081225243923	4.45199990273
NA	ruseng5602	ru	en	ad	NA	Alibaba.5720	NA	BAD_REF	1140	1.07444065501576	86.9019999504
NA	ruseng5602	ru	en	ad	NA	JHU.5675	NA	SYSTEM	1245	0.494426059739395	12.7839999199
NA	ruseng5603	ru	en	ad	NA	online-F.0	NA	SYSTEM	2479	0.731137293302278	3.55000019073
NA	ruseng5603	ru	en	ad	NA	Alibaba.5720	NA	BAD_REF	2002	-0.0137651194027781	8.65599989891
NA	ruseng5603	ru	en	ad	NA	online-G.0	NA	SYSTEM	2569	0.697278092724775	3.20399999619
NA	ruseng5603	ru	en	ad	NA	JHU.5675	NA	SYSTEM	1438	0.290967685794745	8.90799999237
NA	ruseng5603	ru	en	ad	NA	online-A.0	NA	SYSTEM	605	0.257108485217242	9.50400018692
NA	ruseng5603	ru	en	ad	NA	uedin.5739	NA	SYSTEM	2214	0.934292496767293	6.47400021553
